ts_code,symbol,name,industry,market,list_date
000001.SZ,000001,平安银行,银行,主板,1991-04-03
000002.SZ,000002,万科A,全国地产,主板,1991-01-29
000004.SZ,000004,国华网安,软件服务,主板,1991-01-14
000006.SZ,000006,深振业A,区域地产,主板,1992-04-27
000007.SZ,000007,全新好,其他商业,主板,1992-04-13
000008.SZ,000008,神州高铁,运输设备,主板,1992-05-07
000009.SZ,000009,中国宝安,电气设备,主板,1991-06-25
000010.SZ,000010,美丽生态,建筑工程,主板,1995-10-27
000011.SZ,000011,深物业A,房产服务,主板,1992-03-30
000012.SZ,000012,南玻A,玻璃,主板,1992-02-28
000014.SZ,000014,沙河股份,全国地产,主板,1992-06-02
000016.SZ,000016,深康佳A,家用电器,主板,1992-03-27
000017.SZ,000017,深中华A,服饰,主板,1992-03-31
000019.SZ,000019,深粮控股,农业综合,主板,1992-10-12
000020.SZ,000020,深华发A,元器件,主板,1992-04-28
000021.SZ,000021,深科技,元器件,主板,1994-02-02
000025.SZ,000025,特力A,综合类,主板,1993-06-21
000026.SZ,000026,飞亚达,服饰,主板,1993-06-03
000027.SZ,000027,深圳能源,火力发电,主板,1993-09-03
000028.SZ,000028,国药一致,医药商业,主板,1993-08-09
000029.SZ,000029,深深房A,区域地产,主板,1993-09-15
000030.SZ,000030,富奥股份,汽车配件,主板,1993-09-29
000031.SZ,000031,大悦城,全国地产,主板,1993-10-08
000032.SZ,000032,深桑达A,建筑工程,主板,1993-10-28
000034.SZ,000034,神州数码,软件服务,主板,1994-05-09
000035.SZ,000035,中国天楹,环境保护,主板,1994-04-08
000036.SZ,000036,华联控股,全国地产,主板,1994-06-17
000037.SZ,000037,深南电A,火力发电,主板,1994-07-01
000039.SZ,000039,中集集团,运输设备,主板,1994-04-08
000042.SZ,000042,中洲控股,全国地产,主板,1994-09-21
000045.SZ,000045,深纺织A,元器件,主板,1994-08-15
000048.SZ,000048,京基智农,区域地产,主板,1994-11-01
000049.SZ,000049,德赛电池,电气设备,主板,1995-03-20
000050.SZ,000050,深天马A,元器件,主板,1995-03-15
000055.SZ,000055,方大集团,其他建材,主板,1996-04-15
000056.SZ,000056,皇庭国际,其他商业,主板,1996-07-08
000058.SZ,000058,深赛格,商品城,主板,1996-12-26
000059.SZ,000059,华锦股份,石油加工,主板,1997-01-30
000060.SZ,000060,中金岭南,铅锌,主板,1997-01-23
000061.SZ,000061,农产品,农业综合,主板,1997-01-10
000062.SZ,000062,深圳华强,元器件,主板,1997-01-30
000063.SZ,000063,中兴通讯,通信设备,主板,1997-11-18
000065.SZ,000065,北方国际,建筑工程,主板,1998-06-05
000066.SZ,000066,中国长城,IT设备,主板,1997-06-26
000068.SZ,000068,华控赛格,环境保护,主板,1997-06-11
000069.SZ,000069,华侨城A,全国地产,主板,1997-09-10
000078.SZ,000078,海王生物,医药商业,主板,1998-12-18
000088.SZ,000088,盐田港,港口,主板,1997-07-28
000089.SZ,000089,深圳机场,机场,主板,1998-04-20
000090.SZ,000090,天健集团,建筑工程,主板,1999-07-21
000096.SZ,000096,广聚能源,石油贸易,主板,2000-07-24
000099.SZ,000099,中信海直,空运,主板,2000-07-31
000100.SZ,000100,TCL科技,元器件,主板,2004-01-30
000151.SZ,000151,中成股份,商贸代理,主板,2000-09-06
000153.SZ,000153,丰原药业,化学制药,主板,2000-09-20
000155.SZ,000155,川能动力,新型电力,主板,2000-09-26
000156.SZ,000156,华数传媒,影视音像,主板,2000-09-06
000157.SZ,000157,中联重科,工程机械,主板,2000-10-12
000158.SZ,000158,常山北明,软件服务,主板,2000-07-24
000159.SZ,000159,国际实业,石油贸易,主板,2000-09-26
000166.SZ,000166,申万宏源,证券,主板,2015-01-26
000301.SZ,000301,东方盛虹,化纤,主板,2000-05-29
000333.SZ,000333,美的集团,家用电器,主板,2013-09-18
000338.SZ,000338,潍柴动力,汽车配件,主板,2007-04-30
000400.SZ,000400,许继电气,电气设备,主板,1997-04-18
000401.SZ,000401,冀东水泥,水泥,主板,1996-06-14
