ts_code,symbol,name,industry,market,list_date,circ_mv
000001.SZ,000001,平安银行,银行,主板,1991-04-03,19560862.4682
000002.SZ,000002,万科A,全国地产,主板,1991-01-29,6335442.184
000004.SZ,000004,国华网安,软件服务,主板,1991-01-14,154702.9139
000006.SZ,000006,深振业A,区域地产,主板,1992-04-27,562944.7441
000007.SZ,000007,全新好,其他商业,主板,1992-04-13,142733.9963
000008.SZ,000008,神州高铁,运输设备,主板,1992-05-07,526460.7757
000009.SZ,000009,中国宝安,电气设备,主板,1991-06-25,1969704.2101
000011.SZ,000011,深物业A,房产服务,主板,1992-03-30,400121.4127
000012.SZ,000012,南玻A,玻璃,主板,1992-02-28,987476.9411
000014.SZ,000014,沙河股份,全国地产,主板,1992-06-02,194121.0716
000016.SZ,000016,深康佳A,家用电器,主板,1992-03-27,429483.7322
000017.SZ,000017,深中华A,服饰,主板,1992-03-31,168156.6556
000019.SZ,000019,深粮控股,农业综合,主板,1992-10-12,251394.7098
000020.SZ,000020,深华发A,元器件,主板,1992-04-28,215767.9807
000021.SZ,000021,深科技,元器件,主板,1994-02-02,2154945.1477
000025.SZ,000025,特力A,综合类,主板,1993-06-21,549496.8697
000026.SZ,000026,飞亚达,服饰,主板,1993-06-03,327524.7398
000027.SZ,000027,深圳能源,火力发电,主板,1993-09-03,2721227.032
000028.SZ,000028,国药一致,医药商业,主板,1993-08-09,1185095.1545
000029.SZ,000029,深深房A,区域地产,主板,1993-09-15,986175.96
000030.SZ,000030,富奥股份,汽车配件,主板,1993-09-29,754725.4196
000031.SZ,000031,大悦城,全国地产,主板,1993-10-08,960692.9206
000032.SZ,000032,深桑达A,建筑工程,主板,1993-10-28,816915.7485
000034.SZ,000034,神州数码,软件服务,主板,1994-05-09,1420865.5693
000035.SZ,000035,中国天楹,环境保护,主板,1994-04-08,1028960.9404
000036.SZ,000036,华联控股,全国地产,主板,1994-06-17,419030.7335
000037.SZ,000037,深南电A,火力发电,主板,1994-07-01,239259.9801
