ts_code,symbol,name,industry,market,list_date,circ_mv
000001.SZ,000001,平安银行,银行,主板,1991-04-03,19541456.8507
000002.SZ,000002,万科A,全国地产,主板,1991-01-29,6403460.735
000006.SZ,000006,深振业A,区域地产,主板,1992-04-27,568344.6937
000008.SZ,000008,神州高铁,运输设备,主板,1992-05-07,521088.727
000009.SZ,000009,中国宝安,电气设备,主板,1991-06-25,1997769.9437
000011.SZ,000011,深物业A,房产服务,主板,1992-03-30,409597.9725
000012.SZ,000012,南玻A,玻璃,主板,1992-02-28,975721.2632
000016.SZ,000016,深康佳A,家用电器,主板,1992-03-27,415114.388
000021.SZ,000021,深科技,元器件,主板,1994-02-02,2106572.0126
000025.SZ,000025,特力A,综合类,主板,1993-06-21,549889.648
000026.SZ,000026,飞亚达,服饰,主板,1993-06-03,325711.203
000027.SZ,000027,深圳能源,火力发电,主板,1993-09-03,2711712.2521
000028.SZ,000028,国药一致,医药商业,主板,1993-08-09,1211866.1625
000029.SZ,000029,深深房A,区域地产,主板,1993-09-15,997767.54
000030.SZ,000030,富奥股份,汽车配件,主板,1993-09-29,761494.2575
000031.SZ,000031,大悦城,全国地产,主板,1993-10-08,956690.0334
000032.SZ,000032,深桑达A,建筑工程,主板,1993-10-28,826587.2057
000034.SZ,000034,神州数码,软件服务,主板,1994-05-09,1382880.3991
000035.SZ,000035,中国天楹,环境保护,主板,1994-04-08,1077959.0804
000036.SZ,000036,华联控股,全国地产,主板,1994-06-17,426434.1034
000039.SZ,000039,中集集团,运输设备,主板,1994-04-08,1663917.3629
000045.SZ,000045,深纺织A,元器件,主板,1994-08-15,389382.6153
000048.SZ,000048,京基智农,区域地产,主板,1994-11-01,699570.8773
000049.SZ,000049,德赛电池,电气设备,主板,1995-03-20,872039.5657
000050.SZ,000050,深天马A,元器件,主板,1995-03-15,1703199.3266
000058.SZ,000058,深赛格,商品城,主板,1996-12-26,703084.0853
000059.SZ,000059,华锦股份,石油加工,主板,1997-01-30,610987.0491
000060.SZ,000060,中金岭南,铅锌,主板,1997-01-23,1513608.0301
000061.SZ,000061,农产品,农业综合,主板,1997-01-10,911253.0242
000062.SZ,000062,深圳华强,元器件,主板,1997-01-30,3944775.7224
000063.SZ,000063,中兴通讯,通信设备,主板,1997-11-18,9846236.2114
000065.SZ,000065,北方国际,建筑工程,主板,1998-06-05,760911.501
000066.SZ,000066,中国长城,IT设备,主板,1997-06-26,2552049.3476
000068.SZ,000068,华控赛格,环境保护,主板,1997-06-11,305021.4536
000069.SZ,000069,华侨城A,全国地产,主板,1997-09-10,1330660.3876
000078.SZ,000078,海王生物,医药商业,主板,1998-12-18,590949.2561
000088.SZ,000088,盐田港,港口,主板,1997-07-28,976124.7953
000089.SZ,000089,深圳机场,机场,主板,1998-04-20,1257105.093
000090.SZ,000090,天健集团,建筑工程,主板,1999-07-21,635276.3776
000096.SZ,000096,广聚能源,石油贸易,主板,2000-07-24,453633.024
000099.SZ,000099,中信海直,空运,主板,2000-07-31,1046857.1105
000100.SZ,000100,TCL科技,元器件,主板,2004-01-30,7003975.7183
000155.SZ,000155,川能动力,新型电力,主板,2000-09-26,1213924.1119
000156.SZ,000156,华数传媒,影视音像,主板,2000-09-06,1021873.5856
000157.SZ,000157,中联重科,工程机械,主板,2000-10-12,4256447.0579
000158.SZ,000158,常山北明,软件服务,主板,2000-07-24,1125763.5363
000159.SZ,000159,国际实业,石油贸易,主板,2000-09-26,308600.4075
000166.SZ,000166,申万宏源,证券,主板,2015-01-26,9712803.6532
000301.SZ,000301,东方盛虹,化纤,主板,2000-05-29,4298663.2104
000333.SZ,000333,美的集团,家用电器,主板,2013-09-18,43680940.0798
000338.SZ,000338,潍柴动力,汽车配件,主板,2007-04-30,6340651.6805
000400.SZ,000400,许继电气,电气设备,主板,1997-04-18,3005802.8411
000401.SZ,000401,冀东水泥,水泥,主板,1996-06-14,683906.5704
000402.SZ,000402,金融街,全国地产,主板,1996-06-26,645457.6588
000403.SZ,000403,派林生物,生物制药,主板,1996-06-28,1699266.2199
000404.SZ,000404,长虹华意,家用电器,主板,1996-06-19,428267.3083
000408.SZ,000408,藏格矿业,农药化肥,主板,1996-06-28,3701340.298
000409.SZ,000409,云鼎科技,软件服务,主板,1996-06-27,306934.7276
000410.SZ,000410,沈阳机床,机床制造,主板,1996-07-18,1027039.6418
000415.SZ,000415,渤海租赁,多元金融,主板,1996-07-16,1170218.6147
000417.SZ,000417,合百集团,百货,主板,1996-08-12,320180.2824
000420.SZ,000420,吉林化纤,化纤,主板,1996-08-02,705451.207
000422.SZ,000422,湖北宜化,农药化肥,主板,1996-08-15,1218847.6906
000423.SZ,000423,东阿阿胶,中成药,主板,1996-07-29,3303601.1071
000425.SZ,000425,徐工机械,工程机械,主板,1996-08-28,5107538.0466
000426.SZ,000426,兴业银锡,铅锌,主板,1996-08-28,1776694.7288
000428.SZ,000428,华天酒店,酒店餐饮,主板,1996-08-08,306681.676
000429.SZ,000429,粤高速A,路桥,主板,1998-02-20,1505346.0414
000488.SZ,000488,晨鸣纸业,造纸,主板,2000-11-20,577212.3611
000498.SZ,000498,山东路桥,建筑工程,主板,1997-06-09,724577.4401
000501.SZ,000501,武商集团,百货,主板,1992-11-20,529354.4909
000503.SZ,000503,国新健康,软件服务,主板,1992-11-30,651386.0375
000505.SZ,000505,京粮控股,食品,主板,1992-12-21,354132.9882
000507.SZ,000507,珠海港,港口,主板,1993-03-26,400637.9623
000513.SZ,000513,丽珠集团,化学制药,主板,1993-10-28,2195466.6839
000516.SZ,000516,国际医学,医疗保健,主板,1993-08-09,951685.5679
000517.SZ,000517,荣安地产,区域地产,主板,1993-08-06,495905.2968
000519.SZ,000519,中兵红箭,专用机械,主板,1993-10-08,1641827.0398
000521.SZ,000521,长虹美菱,家用电器,主板,1993-10-18,757068.1943
000523.SZ,000523,红棉股份,食品,主板,1993-11-08,336870.6423
000524.SZ,000524,岭南控股,旅游服务,主板,1993-11-18,585558.2776
000526.SZ,000526,学大教育,文教休闲,主板,1993-11-01,631393.1902
000528.SZ,000528,柳工,工程机械,主板,1993-11-18,1344164.0695
000531.SZ,000531,穗恒运A,火力发电,主板,1994-01-06,407565.8778
000532.SZ,000532,华金资本,多元金融,主板,1994-01-03,367598.2282
000534.SZ,000534,万泽股份,生物制药,主板,1994-01-10,453088.2377
000536.SZ,000536,华映科技,元器件,主板,1993-11-26,591299.6584
000537.SZ,000537,中绿电,新型电力,主板,1993-12-10,1540304.6354
000538.SZ,000538,云南白药,中成药,主板,1993-12-15,9531757.9885
000539.SZ,000539,粤电力A,火力发电,主板,1993-11-26,1098175.5591
000541.SZ,000541,佛山照明,家用电器,主板,1993-11-23,554057.6234
000543.SZ,000543,皖能电力,火力发电,主板,1993-12-20,1788555.1682
000544.SZ,000544,中原环保,环境保护,主板,1993-12-08,688127.2485
000546.SZ,000546,金圆股份,环境保护,主板,1993-12-15,329893.2393
000547.SZ,000547,航天发展,通信设备,主板,1993-11-30,986365.7822
000550.SZ,000550,江铃汽车,汽车整车,主板,1993-12-01,1127657.373
000551.SZ,000551,创元科技,专用机械,主板,1994-01-06,354018.8014
000552.SZ,000552,甘肃能化,煤炭开采,主板,1994-01-06,897911.5304
000553.SZ,000553,安道麦A,农药化肥,主板,1993-12-03,953555.5479
000555.SZ,000555,神州信息,软件服务,主板,1994-04-08,816723.4211
000557.SZ,000557,西部创业,铁路,主板,1994-06-17,587540.2278
000559.SZ,000559,万向钱潮,汽车配件,主板,1994-01-10,1536257.1369
000560.SZ,000560,我爱我家,房产服务,主板,1994-02-02,568328.6433
