ts_code,symbol,name,industry,market,list_date,circ_mv
000001.SZ,000001,平安银行,银行,主板,1991-04-03,22161215.217
000002.SZ,000002,万科A,全国地产,主板,1991-01-29,8589771.3047
000009.SZ,000009,中国宝安,电气设备,主板,1991-06-25,2229950.1032
000012.SZ,000012,南玻A,玻璃,主板,1992-02-28,1054092.449
000021.SZ,000021,深科技,元器件,主板,1994-02-02,2348437.6881
000027.SZ,000027,深圳能源,火力发电,主板,1993-09-03,3020942.5967
000028.SZ,000028,国药一致,医药商业,主板,1993-08-09,1386833.8214
000029.SZ,000029,深深房A,区域地产,主板,1993-09-15,1400797.86
000030.SZ,000030,富奥股份,汽车配件,主板,1993-09-29,825798.217
000031.SZ,000031,大悦城,全国地产,主板,1993-10-08,1220880.5865
000032.SZ,000032,深桑达A,建筑工程,主板,1993-10-28,1014858.2385
000034.SZ,000034,神州数码,软件服务,主板,1994-05-09,1540326.177
000035.SZ,000035,中国天楹,环境保护,主板,1994-04-08,1141656.6625
000039.SZ,000039,中集集团,运输设备,主板,1994-04-08,1907866.5199
000048.SZ,000048,京基智农,区域地产,主板,1994-11-01,783289.1573
000049.SZ,000049,德赛电池,电气设备,主板,1995-03-20,917025.7338
000050.SZ,000050,深天马A,元器件,主板,1995-03-15,1811338.9664
000059.SZ,000059,华锦股份,石油加工,主板,1997-01-30,705354.1588
000060.SZ,000060,中金岭南,铅锌,主板,1997-01-23,1711685.1303
000061.SZ,000061,农产品,农业综合,主板,1997-01-10,994402.7415
000062.SZ,000062,深圳华强,元器件,主板,1997-01-30,2790691.218
000063.SZ,000063,中兴通讯,通信设备,主板,1997-11-18,11541641.3014
000065.SZ,000065,北方国际,建筑工程,主板,1998-06-05,885918.3905
000066.SZ,000066,中国长城,IT设备,主板,1997-06-26,2995747.1997
000069.SZ,000069,华侨城A,全国地产,主板,1997-09-10,1827072.5529
000088.SZ,000088,盐田港,港口,主板,1997-07-28,1061591.9433
000089.SZ,000089,深圳机场,机场,主板,1998-04-20,1351439.2436
000090.SZ,000090,天健集团,建筑工程,主板,1999-07-21,771673.9527
000099.SZ,000099,中信海直,空运,主板,2000-07-31,1340530.7967
000100.SZ,000100,TCL科技,元器件,主板,2004-01-30,7709802.7286
000155.SZ,000155,川能动力,新型电力,主板,2000-09-26,1387712.3929
000156.SZ,000156,华数传媒,影视音像,主板,2000-09-06,1103103.6003
000157.SZ,000157,中联重科,工程机械,主板,2000-10-12,5041273.6749
000158.SZ,000158,常山北明,软件服务,主板,2000-07-24,1903794.7532
000166.SZ,000166,申万宏源,证券,主板,2015-01-26,11718463.8043
000301.SZ,000301,东方盛虹,化纤,主板,2000-05-29,4699945.0702
000333.SZ,000333,美的集团,家用电器,主板,2013-09-18,50223479.583
000338.SZ,000338,潍柴动力,汽车配件,主板,2007-04-30,7235100.9771
000400.SZ,000400,许继电气,电气设备,主板,1997-04-18,3250824.6762
000401.SZ,000401,冀东水泥,水泥,主板,1996-06-14,796859.4655
000402.SZ,000402,金融街,全国地产,主板,1996-06-26,950257.1088
000403.SZ,000403,派林生物,生物制药,主板,1996-06-28,1566165.1684
000408.SZ,000408,藏格矿业,农药化肥,主板,1996-06-28,4279773.4957
000415.SZ,000415,渤海租赁,多元金融,主板,1996-07-16,1488388.6528
000422.SZ,000422,湖北宜化,农药化肥,主板,1996-08-15,1327637.4018
000423.SZ,000423,东阿阿胶,中成药,主板,1996-07-29,3806547.0067
000425.SZ,000425,徐工机械,工程机械,主板,1996-08-28,6016988.3824
000426.SZ,000426,兴业银锡,铅锌,主板,1996-08-28,2041273.2087
000429.SZ,000429,粤高速A,路桥,主板,1998-02-20,1402382.9789
000498.SZ,000498,山东路桥,建筑工程,主板,1997-06-09,828088.503
000503.SZ,000503,国新健康,软件服务,主板,1992-11-30,810889.6567
000513.SZ,000513,丽珠集团,化学制药,主板,1993-10-28,2303734.1617
000516.SZ,000516,国际医学,医疗保健,主板,1993-08-09,1097758.2365
000519.SZ,000519,中兵红箭,专用机械,主板,1993-10-08,1871599.2718
000521.SZ,000521,长虹美菱,家用电器,主板,1993-10-18,883975.5795
000526.SZ,000526,学大教育,文教休闲,主板,1993-11-01,702804.2956
000528.SZ,000528,柳工,工程机械,主板,1993-11-18,1689929.7465
000536.SZ,000536,华映科技,元器件,主板,1993-11-26,834450.9198
000537.SZ,000537,中绿电,新型电力,主板,1993-12-10,1691168.8138
000538.SZ,000538,云南白药,中成药,主板,1993-12-15,9991801.9976
000539.SZ,000539,粤电力A,火力发电,主板,1993-11-26,1202885.3217
000543.SZ,000543,皖能电力,火力发电,主板,1993-12-20,1759085.9449
000544.SZ,000544,中原环保,环境保护,主板,1993-12-08,762203.2696
000547.SZ,000547,航天发展,通信设备,主板,1993-11-30,1129317.3449
000550.SZ,000550,江铃汽车,汽车整车,主板,1993-12-01,1320525.6685
000552.SZ,000552,甘肃能化,煤炭开采,主板,1994-01-06,1032039.3938
000553.SZ,000553,安道麦A,农药化肥,主板,1993-12-03,1142960.417
000555.SZ,000555,神州信息,软件服务,主板,1994-04-08,1001458.4806
000559.SZ,000559,万向钱潮,汽车配件,主板,1994-01-10,1717964.9703
000560.SZ,000560,我爱我家,房产服务,主板,1994-02-02,766792.614
000563.SZ,000563,陕国投A,多元金融,主板,1994-01-10,1738749.9217
000567.SZ,000567,海德股份,多元金融,主板,1994-05-25,1226506.3197
000568.SZ,000568,泸州老窖,白酒,主板,1994-05-09,19966319.5555
000581.SZ,000581,威孚高科,汽车配件,主板,1998-09-24,1475426.0113
000582.SZ,000582,北部湾港,港口,主板,1995-11-02,1081174.3791
000589.SZ,000589,贵州轮胎,汽车配件,主板,1996-03-08,765053.752
000591.SZ,000591,太阳能,新型电力,主板,1996-02-08,1691255.488
000596.SZ,000596,古井贡酒,白酒,主板,1996-09-27,7541121.6
000598.SZ,000598,兴蓉环境,水务,主板,1996-05-29,1993195.5431
000603.SZ,000603,盛达资源,铅锌,主板,1996-08-23,774800.0773
000612.SZ,000612,焦作万方,铝,主板,1996-09-26,767274.5727
000617.SZ,000617,中油资本,多元金融,主板,1996-10-22,8470192.9829
000623.SZ,000623,吉林敖东,中成药,主板,1996-10-28,1876741.4027
000625.SZ,000625,长安汽车,汽车整车,主板,1997-06-10,11185334.4379
000627.SZ,000627,天茂集团,保险,主板,1996-11-12,1534193.9036
000628.SZ,000628,高新发展,建筑工程,主板,1996-11-18,863995.2264
000629.SZ,000629,钒钛股份,小金属,主板,1996-11-15,2464386.9436
000630.SZ,000630,铜陵有色,铜,主板,1996-11-20,3747421.2431
000636.SZ,000636,风华高科,元器件,主板,1996-11-29,1673041.1031
000650.SZ,000650,仁和药业,中成药,主板,1996-12-10,785517.6421
000651.SZ,000651,格力电器,家用电器,主板,1996-11-18,24621781.3766
000657.SZ,000657,中钨高新,小金属,主板,1996-12-05,1121194.7768
000661.SZ,000661,长春高新,生物制药,主板,1996-12-18,3978803.9233
000676.SZ,000676,智度股份,互联网,主板,1996-12-24,899814.915
000680.SZ,000680,山推股份,工程机械,主板,1997-01-22,1022853.2474
000681.SZ,000681,视觉中国,互联网,主板,1997-01-21,825425.0513
000682.SZ,000682,东方电子,电气设备,主板,1997-01-21,1484038.2853
