股票代码,股票简称,现价(元),涨跌幅(%),"基金持股比例(%)2024.06.30",基金持股数量(股)2024.06.30,基金持股市值(元)2024.06.30,基金持股家数(家)2024.06.30,基金持股选股明细
688443.SH,智翔金泰,23.52,3.39,58.76,52323058.00,1556087744.92,200,--
688062.SH,迈威生物,21.30,0.52,52.74,107685368.00,3116414549.92,298,--
688212.SH,澳华内镜,37.22,-5.53,51.86,48105022.00,1924681930.22,211,--
688351.SH,微电生理,17.68,-2.91,50.98,62213260.00,1371167627.54,207,--
002850.SZ,科达利,76.59,-0.91,48.67,93878276.00,7170422720.88,416,--
688563.SH,航材股份,43.92,-3.94,48.40,35456947.00,1874963357.36,192,--
603193.SH,润本股份,17.28,2.92,48.15,29219598.00,537348407.22,371,--
688082.SH,盛美上海,81.20,-0.77,48.14,36521982.00,3086472698.82,295,--
688331.SH,荣昌生物,24.27,-4.82,47.97,77689105.00,3356169336.00,273,--
605296.SH,神农集团,25.14,-3.31,47.32,32178274.00,1131066331.10,171,--
688658.SH,悦康药业,15.68,-5.26,47.25,96677621.00,1724728758.64,126,--
301498.SZ,乖宝宠物,51.80,2.64,46.63,18652555.00,1003507459.00,267,--
688281.SH,华秦科技,67.89,-7.81,46.41,22587217.00,1881967003.76,278,--
300347.SZ,泰格医药,49.91,1.88,46.11,261646051.00,12715998078.60,590,--
300705.SZ,九典制药,18.99,0.37,45.15,132845968.00,3552301184.32,343,--
688072.SH,拓荆科技,113.83,-2.33,44.09,67834005.00,8147542340.55,465,--
688652.SH,京仪装备,37.81,-1.59,42.59,17174082.00,671334865.38,301,--
688766.SH,普冉股份,59.03,-2.04,42.40,25959072.00,2522443026.24,339,--
688223.SH,晶科能源,6.34,-3.79,41.73,1297296836.00,9210807535.60,364,--
688120.SH,华海清科,128.15,1.86,41.40,47252111.00,8958055203.38,485,--
603296.SH,华勤技术,46.10,-1.45,40.83,34839924.00,1924209002.52,399,--
688628.SH,优利德,26.98,-2.18,40.31,19788995.00,648485366.15,106,--
300633.SZ,开立医疗,26.40,-0.45,40.18,101822345.00,4030128415.10,341,--
300502.SZ,新易盛,99.57,-0.76,39.16,245271322.00,25888388037.10,"1,267",--
688239.SH,航宇科技,27.33,0.07,38.90,40695816.00,1416214396.80,219,--
