股票代码,股票简称,现价(元),涨跌幅(%),流通股东名称(报告期)2024.06.30,流通股东持股数量(报告期)(股)2024.06.30,流通股东类型(报告期)2024.06.30,流通股东持股比例(报告期)(%)2024.06.30,流通股东持股市值,流通股东排名(报告期)2024.06.30,流通股东持股状态(报告期)2024.06.30
300341.SZ,麦克奥迪,9.49,1.06,香港中央结算有限公司,3511243.0,机构,0.68,30126464.94,6,减持
300047.SZ,天源迪科,8.28,0.98,香港中央结算有限公司,4609224.0,机构,0.72,30144324.96,5,减持
300527.SZ,中船应急,6.58,-2.08,香港中央结算有限公司,4659448.0,机构,0.48,30146628.56,6,减持
002163.SZ,海南发展,6.08,0.50,香港中央结算有限公司,5510888.0,机构,0.65,30199666.24,8,减持
600054.SH,黄山旅游,10.48,1.65,香港中央结算有限公司,2698367.0,机构,0.37,30275677.74,10,减持
601279.SH,英利汽车,3.28,3.47,香港中央结算有限公司,8153271.0,机构,0.51,30411700.83,3,增持
601718.SH,际华集团,2.39,2.14,香港中央结算有限公司,12315132.0,机构,0.28,30541527.36,8,减持
002941.SZ,新疆交建,9.24,4.88,香港中央结算有限公司,3063934.0,机构,0.48,30578061.32,7,减持
300660.SZ,江苏雷利,23.30,2.33,香港中央结算有限公司,1206093.0,机构,0.38,30779493.36,6,增持
300008.SZ,天海防务,3.60,0.56,香港中央结算有限公司,7855980.0,机构,0.45,30952561.2,5,减持
002559.SZ,亚威股份,6.93,2.51,香港中央结算有限公司,4042700.0,机构,0.74,30967082.0,3,新进
600617.SH,国新能源,2.20,2.33,香港中央结算有限公司,12393614.0,机构,0.64,30984035.0,5,新进
688182.SH,灿勤科技,11.02,2.23,香港中央结算有限公司,2341361.0,机构,0.59,30999619.64,2,增持
603520.SH,司太立,7.66,3.65,香港中央结算有限公司,3265211.0,机构,0.74,31150112.94,7,减持
600288.SH,大恒科技,6.83,4.43,香港中央结算有限公司,4789966.0,机构,1.1,31182678.66,4,减持
600696.SH,岩石股份,5.84,9.98,香港中央结算有限公司,4768745.0,机构,1.43,31330654.65,6,增持
300292.SZ,吴通控股,3.38,2.11,香港中央结算有限公司,8856222.0,机构,0.66,31439588.1,4,增持
