l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801200.SI,商贸零售,801203.SI,一般零售,852033.SI,多业态零售,600694.SH,大商股份,19931122,,Y
801200.SI,商贸零售,801203.SI,一般零售,852031.SI,百货,000564.SZ,供销大集,19940110,,Y
801200.SI,商贸零售,801203.SI,一般零售,852033.SI,多业态零售,600827.SH,百联股份,19940204,,Y
801200.SI,商贸零售,801203.SI,一般零售,852031.SI,百货,600828.SH,茂业商业,19940224,,Y
801200.SI,商贸零售,801203.SI,一般零售,852031.SI,百货,600859.SH,王府井,19940506,,Y
801200.SI,商贸零售,801203.SI,一般零售,852034.SI,商业物业经营,600415.SH,小商品城,20020509,,Y
801200.SI,商贸零售,801203.SI,一般零售,852032.SI,超市,601116.SH,三江购物,20110218,,Y
801200.SI,商贸零售,801203.SI,一般零售,852032.SI,超市,601933.SH,永辉超市,20101207,,Y
801200.SI,商贸零售,801203.SI,一般零售,852034.SI,商业物业经营,000058.SZ,深赛格,20111010,,Y
801200.SI,商贸零售,801203.SI,一般零售,852034.SI,商业物业经营,000061.SZ,农产品,20131231,,Y
801200.SI,商贸零售,801203.SI,一般零售,852031.SI,百货,603123.SH,翠微股份,20120418,,Y
801200.SI,商贸零售,801203.SI,一般零售,852032.SI,超市,002697.SZ,红旗连锁,20120828,,Y
801200.SI,商贸零售,801203.SI,一般零售,852032.SI,超市,603708.SH,家家悦,20161201,,Y
801200.SI,商贸零售,801203.SI,一般零售,852031.SI,百货,000501.SZ,武商集团,20170629,,Y
801200.SI,商贸零售,801203.SI,一般零售,852031.SI,百货,002419.SZ,天虹股份,20170629,,Y
801200.SI,商贸零售,801203.SI,一般零售,852033.SI,多业态零售,600861.SH,北京人力,20170629,,Y
801200.SI,商贸零售,801203.SI,一般零售,852034.SI,商业物业经营,600790.SH,轻纺城,20070702,,Y
801200.SI,商贸零售,801203.SI,一般零售,852034.SI,商业物业经营,600605.SH,汇通能源,20210730,,Y
801200.SI,商贸零售,801203.SI,一般零售,852034.SI,商业物业经营,000785.SZ,居然之家,20210730,,Y
801200.SI,商贸零售,801203.SI,一般零售,852034.SI,商业物业经营,600655.SH,豫园股份,20210730,,Y
801200.SI,商贸零售,801203.SI,一般零售,852034.SI,商业物业经营,601828.SH,美凯龙,20180108,,Y
