l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801720.SI,建筑装饰,801724.SI,专业工程,857243.SI,国际工程,000065.SZ,北方国际,19980605,,Y
801720.SI,建筑装饰,801724.SI,专业工程,857241.SI,钢结构,600496.SH,精工钢构,20020605,,Y
801720.SI,建筑装饰,801724.SI,专业工程,857241.SI,钢结构,600477.SH,杭萧钢构,20031107,,Y
801720.SI,建筑装饰,801724.SI,专业工程,857243.SI,国际工程,600970.SH,中材国际,20050323,,Y
801720.SI,建筑装饰,801724.SI,专业工程,857243.SI,国际工程,002051.SZ,中工国际,20060616,,Y
801720.SI,建筑装饰,801724.SI,专业工程,857244.SI,其他专业工程,002116.SZ,中国海诚,20070214,,Y
801720.SI,建筑装饰,801724.SI,专业工程,857244.SI,其他专业工程,601618.SH,中国中冶,20090901,,Y
801720.SI,建筑装饰,801724.SI,专业工程,857242.SI,化学工程,601117.SH,中国化学,20091221,,Y
801720.SI,建筑装饰,801724.SI,专业工程,857241.SI,钢结构,002541.SZ,鸿路钢构,20110106,,Y
801720.SI,建筑装饰,801724.SI,专业工程,857243.SI,国际工程,000928.SZ,中钢国际,20150701,,Y
801720.SI,建筑装饰,801724.SI,专业工程,857241.SI,钢结构,603098.SH,森特股份,20161201,,Y
801720.SI,建筑装饰,801724.SI,专业工程,857244.SI,其他专业工程,603929.SH,亚翔集成,20161213,,Y
801720.SI,建筑装饰,801724.SI,专业工程,857244.SI,其他专业工程,601068.SH,中铝国际,20180809,,Y
801720.SI,建筑装饰,801724.SI,专业工程,857244.SI,其他专业工程,000032.SZ,深桑达A,20220729,,Y
801720.SI,建筑装饰,801724.SI,专业工程,857244.SI,其他专业工程,601226.SH,华电重工,20140127,,Y
