l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801890.SI,机械设备,801074.SI,专用设备,850728.SI,楼宇设备,600835.SH,上海机电,19930806,,Y
801890.SI,机械设备,801074.SI,专用设备,850721.SI,纺织服装设备,600843.SH,上工申贝,19940311,,Y
801890.SI,机械设备,801074.SI,专用设备,850728.SI,楼宇设备,600894.SH,广日股份,19960328,,Y
801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备,600320.SH,振华重工,20001221,,Y
801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备,000852.SZ,石化机械,19981126,,Y
801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备,600169.SH,太原重工,19980904,,Y
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,600501.SH,航天晨光,20010615,,Y
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,600499.SH,科达制造,20021010,,Y
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,002009.SZ,天奇股份,20040624,,Y
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,002073.SZ,软控股份,20061018,,Y
801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备,601106.SH,中国一重,20100125,,Y
801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备,601369.SH,陕鼓动力,20240730,,Y
801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备,002204.SZ,大连重工,20080116,,Y
801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备,002353.SZ,杰瑞股份,20100118,,Y
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,002430.SZ,杭氧股份,20100525,,Y
801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备,601608.SH,中信重工,20120626,,Y
801890.SI,机械设备,801074.SI,专用设备,850721.SI,纺织服装设备,300307.SZ,慈星股份,20120320,,Y
801890.SI,机械设备,801074.SI,专用设备,850723.SI,农用机械,601038.SH,一拖股份,20120727,,Y
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,300293.SZ,蓝英装备,20120228,,Y
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,002690.SZ,美亚光电,20120720,,Y
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,300415.SZ,伊之密,20150115,,Y
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,002837.SZ,英维克,20161219,,Y
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,300382.SZ,斯莱克,20140122,,Y
801890.SI,机械设备,801074.SI,专用设备,850726.SI,印刷包装机械,002611.SZ,东方精工,20180713,,Y
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,002779.SZ,中坚科技,20170629,,Y
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,002786.SZ,银宝山新,20170629,,Y
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,002006.SZ,精工科技,20170629,,Y
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,002031.SZ,巨轮智能,20170629,,Y
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,300151.SZ,昌红科技,20170629,,Y
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,600520.SH,文一科技,20170629,,Y
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,002595.SZ,豪迈科技,20170629,,Y
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,603855.SH,华荣股份,20170504,,Y
801890.SI,机械设备,801074.SI,专用设备,850728.SI,楼宇设备,002960.SZ,青鸟消防,20190724,,Y
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,688128.SH,中国电研,20191023,,Y
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,688596.SH,正帆科技,20200804,,Y
801890.SI,机械设备,801074.SI,专用设备,850721.SI,纺织服装设备,688789.SH,宏华数科,20210630,,Y
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,688630.SH,芯碁微装,20210319,,Y
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,688383.SH,新益昌,20210415,,Y
801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备,601399.SH,国机重装,20210322,,Y
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,300411.SZ,金盾股份,20140120,,Y
801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备,603169.SH,兰石重装,20140127,,Y
801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备,600582.SH,天地科技,20020508,,Y
801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备,601717.SH,郑煤机,20190724,,Y
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,600330.SH,天通股份,20210730,,Y
801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备,603698.SH,航天工程,20210730,,Y
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,688700.SH,东威科技,20210531,,Y
801890.SI,机械设备,801074.SI,专用设备,850721.SI,纺织服装设备,603337.SH,杰克股份,20210730,,Y
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,002530.SZ,金财互联,20240730,,Y
