l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,600601.SH,方正科技,19901219,,Y
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,000636.SZ,风华高科,19961129,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,600183.SH,生益科技,19981028,,Y
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,600563.SH,法拉电子,20021210,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,002384.SZ,东山精密,20100322,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,002436.SZ,兴森科技,20110110,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,002463.SZ,沪电股份,20100809,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,002815.SZ,崇达技术,20161012,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,603228.SH,景旺电子,20161219,,Y
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,002138.SZ,顺络电子,20080602,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,002579.SZ,中京电子,20110426,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,300476.SZ,胜宏科技,20150115,,Y
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,603989.SH,艾华集团,20150106,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,002913.SZ,奥士康,20171121,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,603920.SH,世运电路,20170419,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,002916.SZ,深南电路,20171208,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,300657.SZ,弘信电子,20170504,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,002938.SZ,鹏鼎控股,20180918,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,300814.SZ,中富电路,20210727,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,688183.SH,生益电子,20210205,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,688519.SH,南亚新材,20200731,,Y
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,002484.SZ,江海股份,20100927,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,603328.SH,依顿电子,20040621,,Y
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,603738.SH,泰晶科技,20160928,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,603936.SH,博敏电子,20151209,,Y
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,300975.SZ,商络电子,20220729,,Y
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,300408.SZ,三环集团,20140127,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,002636.SZ,金安国纪,20110117,,Y
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,300319.SZ,麦捷科技,20210730,,Y
