l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,000050.SZ,深天马A,19950315,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,600707.SH,彩虹股份,19960520,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,000536.SZ,华映科技,19931126,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,000725.SZ,京东方A,20010112,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,000727.SZ,冠捷科技,19970520,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,002106.SZ,莱宝高科,20070112,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,300088.SZ,长信科技,20100125,,Y
801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件,002456.SZ,欧菲光,20110110,,Y
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,600703.SH,三安光电,20110110,,Y
801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件,002273.SZ,水晶光电,20080919,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,300120.SZ,经纬辉开,20100910,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,300128.SZ,锦富技术,20100120,,Y
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,300232.SZ,洲明科技,20111010,,Y
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,300219.SZ,鸿利智汇,20111010,,Y
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,300102.SZ,乾照光电,20110110,,Y
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,300296.SZ,利亚德,20120105,,Y
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,300303.SZ,聚飞光电,20120109,,Y
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,002654.SZ,万润科技,20170629,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,600666.SH,奥瑞德,20151102,,Y
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,002745.SZ,木林森,20150115,,Y
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,300708.SZ,聚灿光电,20170925,,Y
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,600651.SH,飞乐音响,20170629,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,002387.SZ,维信诺,20190724,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,000100.SZ,TCL科技,20190422,,Y
801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件,688127.SH,蓝特光学,20200904,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,688055.SH,龙腾光电,20200731,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,600552.SH,凯盛科技,20180713,,Y
801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件,603297.SH,永新光学,20180831,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,688538.SH,和辉光电-U,20210512,,Y
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,002992.SZ,宝明科技,20220729,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,605218.SH,伟时电子,20200914,,Y
801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件,688322.SH,奥比中光-UW,20220707,,Y
801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件,002036.SZ,联创电子,20210730,,Y
801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件,600071.SH,凤凰光学,20210730,,Y
801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件,002222.SZ,福晶科技,20210730,,Y
801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件,300489.SZ,光智科技,20240603,,Y
