l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857331.SI,综合电力设备商,600875.SH,东方电气,19951010,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,002518.SZ,科士达,20101124,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857331.SI,综合电力设备商,601727.SH,上海电气,20081111,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,002335.SZ,科华数据,20091224,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,300693.SZ,盛弘股份,20170807,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,002851.SZ,麦格米特,20170224,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,300820.SZ,英杰电气,20200204,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,300870.SZ,欧陆通,20200807,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857331.SI,综合电力设备商,600475.SH,华光环能,20210730,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,600482.SH,中国动力,20220729,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857334.SI,火电设备,002534.SZ,西子洁能,20210730,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,002366.SZ,融发核电,20210730,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,300593.SZ,新雷能,20161226,,Y
