l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801030.SI,基础化工,801038.SI,农化制品,850331.SI,氮肥,600426.SH,华鲁恒升,20220729,,Y
801030.SI,基础化工,801038.SI,农化制品,850332.SI,磷肥及磷化工,002895.SZ,川恒股份,20170815,,Y
801030.SI,基础化工,801038.SI,农化制品,850332.SI,磷肥及磷化工,603077.SH,和邦生物,20220729,,Y
801030.SI,基础化工,801038.SI,农化制品,850331.SI,氮肥,000422.SZ,湖北宜化,20220729,,Y
801030.SI,基础化工,801038.SI,农化制品,850332.SI,磷肥及磷化工,600331.SH,宏达股份,20220729,,Y
801030.SI,基础化工,801038.SI,农化制品,850336.SI,钾肥,002545.SZ,东方铁塔,20220729,,Y
801030.SI,基础化工,801038.SI,农化制品,850332.SI,磷肥及磷化工,600141.SH,兴发集团,20110110,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,000553.SZ,安道麦A,19931203,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,603599.SH,广信股份,20150106,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,002215.SZ,诺普信,20080102,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,002250.SZ,联化科技,20080128,,Y
801030.SI,基础化工,801038.SI,农化制品,850381.SI,复合肥,002539.SZ,云图控股,20110110,,Y
801030.SI,基础化工,801038.SI,农化制品,850336.SI,钾肥,000893.SZ,亚钾国际,20190724,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,600486.SH,扬农化工,20020401,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,603360.SH,百傲化学,20170116,,Y
801030.SI,基础化工,801038.SI,农化制品,850381.SI,复合肥,002470.SZ,金正大,20110110,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,002749.SZ,国光股份,20150116,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,600389.SH,江山股份,20010110,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,600596.SH,新安股份,20230704,,Y
801030.SI,基础化工,801038.SI,农化制品,850331.SI,氮肥,600691.SH,阳煤化工,20130104,,Y
801030.SI,基础化工,801038.SI,农化制品,850381.SI,复合肥,002588.SZ,史丹利,20111010,,Y
801030.SI,基础化工,801038.SI,农化制品,850336.SI,钾肥,000792.SZ,盐湖股份,19970904,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,301035.SZ,润丰股份,20210712,,Y
801030.SI,基础化工,801038.SI,农化制品,850331.SI,氮肥,000912.SZ,泸天化,19990104,,Y
801030.SI,基础化工,801038.SI,农化制品,850332.SI,磷肥及磷化工,002312.SZ,川发龙蟒,20210730,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,300261.SZ,雅本化学,20170629,,Y
801030.SI,基础化工,801038.SI,农化制品,850381.SI,复合肥,000902.SZ,新洋丰,19990104,,Y
801030.SI,基础化工,801038.SI,农化制品,850332.SI,磷肥及磷化工,600096.SH,云天化,20170629,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,002258.SZ,利尔化学,20080118,,Y
