l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801780.SI,银行,801785.SI,农商行Ⅱ,857851.SI,农商行Ⅲ,603323.SH,苏农银行,20161028,,Y
801780.SI,银行,801785.SI,农商行Ⅱ,857851.SI,农商行Ⅲ,002807.SZ,江阴银行,20160804,,Y
801780.SI,银行,801785.SI,农商行Ⅱ,857851.SI,农商行Ⅲ,002839.SZ,张家港行,20161219,,Y
801780.SI,银行,801785.SI,农商行Ⅱ,857851.SI,农商行Ⅲ,600908.SH,无锡银行,20160823,,Y
801780.SI,银行,801785.SI,农商行Ⅱ,857851.SI,农商行Ⅲ,601128.SH,常熟银行,20160823,,Y
801780.SI,银行,801785.SI,农商行Ⅱ,857851.SI,农商行Ⅲ,601077.SH,渝农商行,20190916,,Y
801780.SI,银行,801785.SI,农商行Ⅱ,857851.SI,农商行Ⅲ,601860.SH,紫金银行,20181128,,Y
801780.SI,银行,801785.SI,农商行Ⅱ,857851.SI,农商行Ⅲ,002958.SZ,青农商行,20190218,,Y
801780.SI,银行,801785.SI,农商行Ⅱ,857851.SI,农商行Ⅲ,601528.SH,瑞丰银行,20210518,,Y
801780.SI,银行,801785.SI,农商行Ⅱ,857851.SI,农商行Ⅲ,601825.SH,沪农商行,20210709,,Y
