l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801760.SI,传媒,801769.SI,出版,857692.SI,大众出版,600825.SH,新华传媒,19940204,,Y
801760.SI,传媒,801769.SI,出版,857692.SI,大众出版,600373.SH,中文传媒,20020304,,Y
801760.SI,传媒,801769.SI,出版,857692.SI,大众出版,601801.SH,皖新传媒,20091231,,Y
801760.SI,传媒,801769.SI,出版,857691.SI,教育出版,601098.SH,中南传媒,20101020,,Y
801760.SI,传媒,801769.SI,出版,857691.SI,教育出版,601928.SH,凤凰传媒,20111121,,Y
801760.SI,传媒,801769.SI,出版,857692.SI,大众出版,000719.SZ,中原传媒,20111010,,Y
801760.SI,传媒,801769.SI,出版,857692.SI,大众出版,300364.SZ,中文在线,20150115,,Y
801760.SI,传媒,801769.SI,出版,857691.SI,教育出版,601811.SH,新华文轩,20160804,,Y
801760.SI,传媒,801769.SI,出版,857691.SI,教育出版,601900.SH,南方传媒,20160203,,Y
801760.SI,传媒,801769.SI,出版,857692.SI,大众出版,601949.SH,中国出版,20170807,,Y
801760.SI,传媒,801769.SI,出版,857691.SI,教育出版,601019.SH,山东出版,20171108,,Y
801760.SI,传媒,801769.SI,出版,857692.SI,大众出版,601858.SH,中国科传,20170105,,Y
801760.SI,传媒,801769.SI,出版,857692.SI,大众出版,300788.SZ,中信出版,20190618,,Y
801760.SI,传媒,801769.SI,出版,857691.SI,教育出版,605577.SH,龙版传媒,20210723,,Y
801760.SI,传媒,801769.SI,出版,857692.SI,大众出版,600229.SH,城市传媒,20170526,,Y
801760.SI,传媒,801769.SI,出版,857692.SI,大众出版,600551.SH,时代出版,20090601,,Y
801760.SI,传媒,801769.SI,出版,857691.SI,教育出版,600757.SH,长江传媒,20111010,,Y
