l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,000566.SZ,海南海药,19940525,,Y
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,000513.SZ,丽珠集团,19931028,,Y
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,000963.SZ,华东医药,20000127,,Y
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,600062.SH,华润双鹤,19970522,,Y
801150.SI,医药生物,801151.SI,化学制药,851511.SI,原料药,000756.SZ,新华制药,19970806,,Y
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,600079.SH,人福医药,19970606,,Y
801150.SI,医药生物,801151.SI,化学制药,851511.SI,原料药,000739.SZ,普洛药业,19970422,,Y
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,600196.SH,复星医药,19980807,,Y
801150.SI,医药生物,801151.SI,化学制药,851511.SI,原料药,600216.SH,浙江医药,19991021,,Y
801150.SI,医药生物,801151.SI,化学制药,851511.SI,原料药,002001.SZ,新和成,20040618,,Y
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,002038.SZ,双鹭药业,20240730,,Y
801150.SI,医药生物,801151.SI,化学制药,851511.SI,原料药,002099.SZ,海翔药业,20061226,,Y
801150.SI,医药生物,801151.SI,化学制药,851511.SI,原料药,688166.SH,博瑞医药,20220729,,Y
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,600276.SH,恒瑞医药,20080102,,Y
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,600664.SH,哈药股份,20081007,,Y
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,002262.SZ,恩华药业,20081007,,Y
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,002422.SZ,科伦药业,20100120,,Y
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,002399.SZ,海普瑞,20240730,,Y
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,000813.SZ,德展健康,20180809,,Y
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,300199.SZ,翰宇药业,20110128,,Y
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,600420.SH,国药现代,20110110,,Y
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,600789.SH,鲁抗医药,20110110,,Y
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,000915.SZ,华特达因,20110110,,Y
