l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801150.SI,医药生物,801153.SI,医疗器械,851532.SI,医疗设备,600055.SH,万东医疗,19970519,,Y
801150.SI,医药生物,801153.SI,医疗器械,851532.SI,医疗设备,688114.SH,华大智造,20220826,,Y
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,600529.SH,山东药玻,20020603,,Y
801150.SI,医药生物,801153.SI,医疗器械,851532.SI,医疗设备,600587.SH,新华医疗,20020927,,Y
801150.SI,医药生物,801153.SI,医疗器械,851534.SI,体外诊断,002030.SZ,达安基因,20040806,,Y
801150.SI,医药生物,801153.SI,医疗器械,851532.SI,医疗设备,002223.SZ,鱼跃医疗,20080102,,Y
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,300003.SZ,乐普医疗,20090122,,Y
801150.SI,医药生物,801153.SI,医疗器械,851532.SI,医疗设备,300298.SZ,三诺生物,20120106,,Y
801150.SI,医药生物,801153.SI,医疗器械,851534.SI,体外诊断,300463.SZ,迈克生物,20150525,,Y
801150.SI,医药生物,801153.SI,医疗器械,851534.SI,体外诊断,300482.SZ,万孚生物,20150116,,Y
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,300529.SZ,健帆生物,20160718,,Y
801150.SI,医药生物,801153.SI,医疗器械,851534.SI,体外诊断,300406.SZ,九强生物,20140124,,Y
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,002382.SZ,蓝帆医疗,20190121,,Y
801150.SI,医药生物,801153.SI,医疗器械,851534.SI,体外诊断,300685.SZ,艾德生物,20170726,,Y
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,300677.SZ,英科医疗,20170712,,Y
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,002901.SZ,大博医疗,20170907,,Y
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,688016.SH,心脉医疗,20190708,,Y
801150.SI,医药生物,801153.SI,医疗器械,851532.SI,医疗设备,688139.SH,海尔生物,20191011,,Y
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,688198.SH,佰仁医疗,20191129,,Y
801150.SI,医药生物,801153.SI,医疗器械,851534.SI,体外诊断,688389.SH,普门科技,20191023,,Y
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,688029.SH,南微医学,20190708,,Y
801150.SI,医药生物,801153.SI,医疗器械,851532.SI,医疗设备,688301.SH,奕瑞科技,20200831,,Y
801150.SI,医药生物,801153.SI,医疗器械,851534.SI,体外诊断,688289.SH,圣湘生物,20200811,,Y
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,688617.SH,惠泰医疗,20201223,,Y
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,688050.SH,爱博医疗,20200721,,Y
801150.SI,医药生物,801153.SI,医疗器械,851534.SI,体外诊断,300832.SZ,新产业,20200427,,Y
801150.SI,医药生物,801153.SI,医疗器械,851532.SI,医疗设备,300760.SZ,迈瑞医疗,20180919,,Y
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,603301.SH,振德医疗,20180403,,Y
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,688366.SH,昊海生科,20191021,,Y
801150.SI,医药生物,801153.SI,医疗器械,851534.SI,体外诊断,688606.SH,奥泰生物,20210312,,Y
801150.SI,医药生物,801153.SI,医疗器械,851534.SI,体外诊断,688575.SH,亚辉龙,20210426,,Y
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,688085.SH,三友医疗,20200325,,Y
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,605369.SH,拱东医疗,20200909,,Y
801150.SI,医药生物,801153.SI,医疗器械,851534.SI,体外诊断,688298.SH,东方生物,20200108,,Y
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,300595.SZ,欧普康视,20170116,,Y
801150.SI,医药生物,801153.SI,医疗器械,851532.SI,医疗设备,688271.SH,联影医疗,20220805,,Y
801150.SI,医药生物,801153.SI,医疗器械,851532.SI,医疗设备,300049.SZ,福瑞股份,20180713,,Y
801150.SI,医药生物,801153.SI,医疗器械,851534.SI,体外诊断,603658.SH,安图生物,20180713,,Y
801150.SI,医药生物,801153.SI,医疗器械,851534.SI,体外诊断,600645.SH,中源协和,20010831,,Y
801150.SI,医药生物,801153.SI,医疗器械,851534.SI,体外诊断,002432.SZ,九安医疗,20220729,,Y
801150.SI,医药生物,801153.SI,医疗器械,851532.SI,医疗设备,300341.SZ,麦克奥迪,20230704,,Y
801150.SI,医药生物,801153.SI,医疗器械,851532.SI,医疗设备,300171.SZ,东富龙,20210730,,Y
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,688161.SH,威高骨科,20210615,,Y
801150.SI,医药生物,801153.SI,医疗器械,851532.SI,医疗设备,300633.SZ,开立医疗,20170320,,Y
