l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801150.SI,医药生物,801156.SI,医疗服务,851564.SI,医院,301267.SZ,华厦眼科,20221104,,Y
801150.SI,医药生物,801156.SI,医疗服务,851564.SI,医院,002044.SZ,美年健康,20050411,,Y
801150.SI,医药生物,801156.SI,医疗服务,851564.SI,医院,300015.SZ,爱尔眼科,20090112,,Y
801150.SI,医药生物,801156.SI,医疗服务,851562.SI,诊断服务,300244.SZ,迪安诊断,20110111,,Y
801150.SI,医药生物,801156.SI,医疗服务,851564.SI,医院,002219.SZ,新里程,20151102,,Y
801150.SI,医药生物,801156.SI,医疗服务,851564.SI,医院,000516.SZ,国际医学,20190513,,Y
801150.SI,医药生物,801156.SI,医疗服务,851564.SI,医院,600763.SH,通策医疗,20070702,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,603127.SH,昭衍新药,20170815,,Y
801150.SI,医药生物,801156.SI,医疗服务,851564.SI,医院,301293.SZ,三博脑科,20230414,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,300759.SZ,康龙化成,20190124,,Y
801150.SI,医药生物,801156.SI,医疗服务,851565.SI,其他医疗服务,688315.SH,诺禾致源,20210325,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,688222.SH,成都先导,20200330,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,603259.SH,药明康德,20180507,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,688621.SH,阳光诺和,20210607,,Y
801150.SI,医药生物,801156.SI,医疗服务,851562.SI,诊断服务,603882.SH,金域医学,20170828,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,688131.SH,皓元医药,20220729,,Y
801150.SI,医药生物,801156.SI,医疗服务,851564.SI,医院,300143.SZ,盈康生命,20180713,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,300363.SZ,博腾股份,20210730,,Y
801150.SI,医药生物,801156.SI,医疗服务,851562.SI,诊断服务,300676.SZ,华大基因,20220729,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,002821.SZ,凯莱英,20210730,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,300725.SZ,药石科技,20210730,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,688076.SH,诺泰生物,20210510,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,603456.SH,九洲药业,20230704,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,300347.SZ,泰格医药,20120109,,Y
