l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801150.SI,医药生物,801154.SI,医药商业,851542.SI,医药流通,601607.SH,上海医药,19940324,,Y
801150.SI,医药生物,801154.SI,医药商业,851542.SI,医药流通,600713.SH,南京医药,19960701,,Y
801150.SI,医药生物,801154.SI,医药商业,851542.SI,医药流通,000028.SZ,国药一致,19930505,,Y
801150.SI,医药生物,801154.SI,医药商业,851542.SI,医药流通,000078.SZ,海王生物,19981218,,Y
801150.SI,医药生物,801154.SI,医药商业,851542.SI,医药流通,600998.SH,九州通,20100125,,Y
801150.SI,医药生物,801154.SI,医药商业,851543.SI,线下药店,603939.SH,益丰药房,20150115,,Y
801150.SI,医药生物,801154.SI,医药商业,851543.SI,线下药店,603883.SH,老百姓,20150113,,Y
801150.SI,医药生物,801154.SI,医药商业,851543.SI,线下药店,002727.SZ,一心堂,20140120,,Y
801150.SI,医药生物,801154.SI,医药商业,851542.SI,医药流通,000950.SZ,重药控股,20190724,,Y
801150.SI,医药生物,801154.SI,医药商业,851543.SI,线下药店,603233.SH,大参林,20170712,,Y
801150.SI,医药生物,801154.SI,医药商业,851542.SI,医药流通,600511.SH,国药股份,20020114,,Y
801150.SI,医药生物,801154.SI,医药商业,851542.SI,医药流通,603108.SH,润达医疗,20220729,,Y
801150.SI,医药生物,801154.SI,医药商业,851542.SI,医药流通,600056.SH,中国医药,20140701,,Y
801150.SI,医药生物,801154.SI,医药商业,851542.SI,医药流通,301015.SZ,百洋医药,20210615,,Y
801150.SI,医药生物,801154.SI,医药商业,851542.SI,医药流通,603368.SH,柳药集团,20140127,,Y
