l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688213.SH,思特威-W,20220429,,Y
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,600171.SH,上海贝岭,19980924,,Y
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,688409.SH,富创精密,20220916,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,002049.SZ,紫光国微,20050530,,Y
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,002079.SZ,苏州固锝,20061026,,Y
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,002119.SZ,康强电子,20070302,,Y
801080.SI,电子,801081.SI,半导体,850817.SI,集成电路封测,002156.SZ,通富微电,20070815,,Y
801080.SI,电子,801081.SI,半导体,850817.SI,集成电路封测,002185.SZ,华天科技,20071119,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688047.SH,龙芯中科,20220610,,Y
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,688120.SH,华海清科,20220520,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,300077.SZ,国民技术,20100122,,Y
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,300046.SZ,台基股份,20110110,,Y
801080.SI,电子,801081.SI,半导体,850817.SI,集成电路封测,603005.SH,晶方科技,20140122,,Y
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,301297.SZ,富乐德,20221223,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688525.SH,佰维存储,20221223,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,300327.SZ,中颖电子,20120104,,Y
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,688234.SH,天岳先进,20211224,,Y
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688220.SH,翱捷科技-U,20211224,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,603986.SH,兆易创新,20160804,,Y
801080.SI,电子,801081.SI,半导体,850817.SI,集成电路封测,688362.SH,甬矽电子,20221028,,Y
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,688432.SH,有研硅,20221028,,Y
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,688172.SH,燕东微,20221202,,Y
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,688498.SH,源杰科技,20221202,,Y
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688141.SH,杰华特,20221209,,Y
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,300373.SZ,扬杰科技,20140108,,Y
801080.SI,电子,801081.SI,半导体,850817.SI,集成电路封测,002077.SZ,大港股份,20150701,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,300458.SZ,全志科技,20150106,,Y
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,300671.SZ,富满微,20170615,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,300672.SZ,国科微,20170628,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688262.SH,国芯科技,20211217,,Y
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,300623.SZ,捷捷微电,20170224,,Y
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,300661.SZ,圣邦股份,20170522,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,300613.SZ,富瀚微,20170208,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,603501.SH,韦尔股份,20170419,,Y
801080.SI,电子,801081.SI,半导体,850816.SI,集成电路制造,688249.SH,晶合集成,20230414,,Y
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,300666.SZ,江丰电子,20190724,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688099.SH,晶晨股份,20190724,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688123.SH,聚辰股份,20191205,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688018.SH,乐鑫科技,20190708,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688008.SH,澜起科技,20190702,,Y
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,300782.SZ,卓胜微,20190529,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688256.SH,寒武纪-U,20200707,,Y
801080.SI,电子,801081.SI,半导体,850816.SI,集成电路制造,688396.SH,华润微,20200204,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688608.SH,恒玄科技,20201201,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688521.SH,芯原股份,20200731,,Y
