l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801030.SI,基础化工,801036.SI,塑料,850351.SI,其他塑料制品,002108.SZ,沧州明珠,20070124,,Y
801030.SI,基础化工,801036.SI,塑料,850355.SI,膜材料,002585.SZ,双星新材,20110125,,Y
801030.SI,基础化工,801036.SI,塑料,850353.SI,改性塑料,002324.SZ,普利特,20110110,,Y
801030.SI,基础化工,801036.SI,塑料,850353.SI,改性塑料,600143.SH,金发科技,20110110,,Y
801030.SI,基础化工,801036.SI,塑料,850351.SI,其他塑料制品,603991.SH,至正股份,20170224,,Y
801030.SI,基础化工,801036.SI,塑料,850351.SI,其他塑料制品,605008.SH,长鸿高科,20200807,,Y
801030.SI,基础化工,801036.SI,塑料,850351.SI,其他塑料制品,688087.SH,英科再生,20210622,,Y
801030.SI,基础化工,801036.SI,塑料,850354.SI,合成树脂,605589.SH,圣泉集团,20210810,,Y
801030.SI,基础化工,801036.SI,塑料,850351.SI,其他塑料制品,300180.SZ,华峰超纤,20111010,,Y
801030.SI,基础化工,801036.SI,塑料,850351.SI,其他塑料制品,600589.SH,广东榕泰,20210730,,Y
801030.SI,基础化工,801036.SI,塑料,850355.SI,膜材料,601208.SH,东材科技,20210730,,Y
801030.SI,基础化工,801036.SI,塑料,850354.SI,合成树脂,300487.SZ,蓝晓科技,20210730,,Y
