l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801050.SI,有色金属,801055.SI,工业金属,850553.SI,铅锌,600338.SH,西藏珠峰,20001227,,Y
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,600888.SH,新疆众和,19960215,,Y
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,000612.SZ,焦作万方,19960926,,Y
801050.SI,有色金属,801055.SI,工业金属,850552.SI,铜,000630.SZ,铜陵有色,19961120,,Y
801050.SI,有色金属,801055.SI,工业金属,850553.SI,铅锌,000688.SZ,国城矿业,19961218,,Y
801050.SI,有色金属,801055.SI,工业金属,850553.SI,铅锌,000758.SZ,中色股份,19970327,,Y
801050.SI,有色金属,801055.SI,工业金属,850553.SI,铅锌,000060.SZ,中金岭南,19970123,,Y
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,000807.SZ,云铝股份,19980408,,Y
801050.SI,有色金属,801055.SI,工业金属,850552.SI,铜,000878.SZ,云南铜业,19980602,,Y
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,600219.SH,南山铝业,19991223,,Y
801050.SI,有色金属,801055.SI,工业金属,850552.SI,铜,600362.SH,江西铜业,20020111,,Y
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,600595.SH,中孚实业,20020626,,Y
801050.SI,有色金属,801055.SI,工业金属,850553.SI,铅锌,600531.SH,豫光金铅,20020730,,Y
801050.SI,有色金属,801055.SI,工业金属,850553.SI,铅锌,600497.SH,驰宏锌锗,20040419,,Y
801050.SI,有色金属,801055.SI,工业金属,850553.SI,铅锌,600961.SH,株冶集团,20040826,,Y
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,601600.SH,中国铝业,20070430,,Y
801050.SI,有色金属,801055.SI,工业金属,850552.SI,铜,002171.SZ,楚江新材,20070920,,Y
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,002379.SZ,宏创控股,20100312,,Y
801050.SI,有色金属,801055.SI,工业金属,850552.SI,铜,002203.SZ,海亮股份,20080116,,Y
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,601677.SH,明泰铝业,20110906,,Y
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,300337.SZ,银邦股份,20120710,,Y
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,601388.SH,怡球资源,20120409,,Y
801050.SI,有色金属,801055.SI,工业金属,850553.SI,铅锌,000426.SZ,兴业银锡,20120702,,Y
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,000933.SZ,神火股份,20180619,,Y
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,603876.SH,鼎胜新材,20180403,,Y
801050.SI,有色金属,801055.SI,工业金属,850552.SI,铜,601609.SH,金田股份,20200408,,Y
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,300328.SZ,宜安科技,20220729,,Y
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,601702.SH,华峰铝业,20200821,,Y
801050.SI,有色金属,801055.SI,工业金属,850552.SI,铜,000737.SZ,北方铜业,20220729,,Y
801050.SI,有色金属,801055.SI,工业金属,850553.SI,铅锌,601020.SH,华钰矿业,20220729,,Y
801050.SI,有色金属,801055.SI,工业金属,850552.SI,铜,600490.SH,鹏欣资源,20111010,,Y
801050.SI,有色金属,801055.SI,工业金属,850552.SI,铜,601168.SH,西部矿业,20210730,,Y
801050.SI,有色金属,801055.SI,工业金属,850552.SI,铜,601212.SH,白银有色,20230704,,Y
801050.SI,有色金属,801055.SI,工业金属,850552.SI,铜,601899.SH,紫金矿业,20210730,,Y
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,002532.SZ,天山铝业,20210730,,Y
801050.SI,有色金属,801055.SI,工业金属,850552.SI,铜,603979.SH,金诚信,20231013,,Y
