l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801890.SI,机械设备,801077.SI,工程机械,850771.SI,工程机械整机,000425.SZ,徐工机械,19960828,,Y
801890.SI,机械设备,801077.SI,工程机械,850771.SI,工程机械整机,600761.SH,安徽合力,19961009,,Y
801890.SI,机械设备,801077.SI,工程机械,850771.SI,工程机械整机,000528.SZ,柳工,19931118,,Y
801890.SI,机械设备,801077.SI,工程机械,850771.SI,工程机械整机,000157.SZ,中联重科,20001012,,Y
801890.SI,机械设备,801077.SI,工程机械,850771.SI,工程机械整机,000680.SZ,山推股份,19970122,,Y
801890.SI,机械设备,801077.SI,工程机械,850771.SI,工程机械整机,600031.SH,三一重工,20030626,,Y
801890.SI,机械设备,801077.SI,工程机械,850771.SI,工程机械整机,002097.SZ,山河智能,20061220,,Y
801890.SI,机械设备,801077.SI,工程机械,850772.SI,工程机械器件,601100.SH,恒立液压,20111018,,Y
801890.SI,机械设备,801077.SI,工程机械,850771.SI,工程机械整机,002685.SZ,华东重机,20240730,,Y
801890.SI,机械设备,801077.SI,工程机械,850771.SI,工程机械整机,688425.SH,铁建重工,20210607,,Y
801890.SI,机械设备,801077.SI,工程机械,850772.SI,工程机械器件,603638.SH,艾迪精密,20210730,,Y
801890.SI,机械设备,801077.SI,工程机械,850771.SI,工程机械整机,603338.SH,浙江鼎力,20210730,,Y
801890.SI,机械设备,801077.SI,工程机械,850771.SI,工程机械整机,605305.SH,中际联合,20210730,,Y
801890.SI,机械设备,801077.SI,工程机械,850771.SI,工程机械整机,603298.SH,杭叉集团,20161212,,Y
