l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801760.SI,传媒,801765.SI,广告营销,857651.SI,营销代理,600640.SH,国脉文化,20220729,,Y
801760.SI,传媒,801765.SI,广告营销,857651.SI,营销代理,600986.SH,浙文互联,20040421,,Y
801760.SI,传媒,801765.SI,广告营销,857652.SI,广告媒体,002027.SZ,分众传媒,20040803,,Y
801760.SI,传媒,801765.SI,广告营销,857651.SI,营销代理,002400.SZ,省广集团,20100426,,Y
801760.SI,传媒,801765.SI,广告营销,857651.SI,营销代理,300061.SZ,旗天科技,20100310,,Y
801760.SI,传媒,801765.SI,广告营销,857651.SI,营销代理,300058.SZ,蓝色光标,20100203,,Y
801760.SI,传媒,801765.SI,广告营销,857651.SI,营销代理,000676.SZ,智度股份,20170629,,Y
801760.SI,传媒,801765.SI,广告营销,857651.SI,营销代理,605168.SH,三人行,20200427,,Y
801760.SI,传媒,801765.SI,广告营销,857651.SI,营销代理,301171.SZ,易点天下,20220805,,Y
801760.SI,传媒,801765.SI,广告营销,857651.SI,营销代理,300063.SZ,天龙集团,20180619,,Y
801760.SI,传媒,801765.SI,广告营销,857651.SI,营销代理,600556.SH,天下秀,20200907,,Y
801760.SI,传媒,801765.SI,广告营销,857651.SI,营销代理,002354.SZ,天娱数科,20230704,,Y
801760.SI,传媒,801765.SI,广告营销,857651.SI,营销代理,002291.SZ,遥望科技,20210730,,Y
