l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,000559.SZ,万向钱潮,19940110,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,600741.SH,华域汽车,19960826,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,600742.SH,一汽富维,19960826,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,600609.SH,金杯汽车,19920724,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,600660.SH,福耀玻璃,19930610,,Y
801880.SI,汽车,801093.SI,汽车零部件,850926.SI,汽车电子电气系统,000980.SZ,众泰汽车,20000616,,Y
801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂,000589.SZ,贵州轮胎,19960308,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,600081.SH,东风科技,19970703,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,000700.SZ,模塑科技,19970228,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,000581.SZ,威孚高科,19980924,,Y
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,000887.SZ,中鼎股份,19981203,,Y
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,600523.SH,贵航股份,20011227,,Y
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,600480.SH,凌云股份,20030812,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,002048.SZ,宁波华翔,20050601,,Y
801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂,002085.SZ,万丰奥威,20061127,,Y
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,002101.SZ,广东鸿图,20061228,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,000338.SZ,潍柴动力,20070430,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,002126.SZ,银轮股份,20070418,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,002590.SZ,万安科技,20110601,,Y
801880.SI,汽车,801093.SI,汽车零部件,850926.SI,汽车电子电气系统,002239.SZ,奥特佳,20080430,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,002284.SZ,亚太股份,20090810,,Y
801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂,002488.SZ,金固股份,20101012,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,002536.SZ,飞龙股份,20101229,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,002472.SZ,双环传动,20100820,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,002434.SZ,万里扬,20100528,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,300100.SZ,双林股份,20100727,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,000030.SZ,富奥股份,20130701,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,002703.SZ,浙江世宝,20121026,,Y
801880.SI,汽车,801093.SI,汽车零部件,850926.SI,汽车电子电气系统,300304.SZ,云意电气,20120313,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,603997.SH,继峰股份,20150115,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,601689.SH,拓普集团,20150109,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,603035.SH,常熟汽饰,20161219,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,300507.SZ,苏奥传感,20160418,,Y
801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂,601966.SH,玲珑轮胎,20160624,,Y
801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂,601163.SH,三角轮胎,20160823,,Y
801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂,601500.SH,通用股份,20160907,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,603306.SH,华懋科技,20140110,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,603009.SH,北特科技,20140120,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,002516.SZ,旷达科技,20190724,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,603305.SH,旭升集团,20170628,,Y
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,603197.SH,保隆科技,20170504,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,603809.SH,豪能股份,20171030,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,603178.SH,圣龙股份,20170224,,Y
801880.SI,汽车,801093.SI,汽车零部件,850926.SI,汽车电子电气系统,603179.SH,新泉股份,20170301,,Y
801880.SI,汽车,801093.SI,汽车零部件,850926.SI,汽车电子电气系统,002906.SZ,华阳集团,20170925,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,603730.SH,岱美股份,20170628,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,600933.SH,爱柯迪,20171108,,Y
801880.SI,汽车,801093.SI,汽车零部件,850926.SI,汽车电子电气系统,603786.SH,科博达,20190902,,Y
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,300926.SZ,博俊科技,20201223,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,603596.SH,伯特利,20180403,,Y
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,601279.SH,英利汽车,20210329,,Y
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,002997.SZ,瑞鹄模具,20200821,,Y
801880.SI,汽车,801093.SI,汽车零部件,850926.SI,汽车电子电气系统,300863.SZ,卡倍亿,20200804,,Y
801880.SI,汽车,801093.SI,汽车零部件,850926.SI,汽车电子电气系统,605333.SH,沪光股份,20200713,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,300580.SZ,贝斯特,20161212,,Y
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,603348.SH,文灿股份,20180426,,Y
801880.SI,汽车,801093.SI,汽车零部件,850926.SI,汽车电子电气系统,605005.SH,合兴股份,20210104,,Y
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,002190.SZ,成飞集成,20220729,,Y
801880.SI,汽车,801093.SI,汽车零部件,850926.SI,汽车电子电气系统,000901.SZ,航天科技,20220729,,Y
