l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,000021.SZ,深科技,19940202,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,600363.SH,联创光电,20220729,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002475.SZ,立讯精密,20100914,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002241.SZ,歌尔股份,20080505,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,300136.SZ,信维通信,20101025,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,300115.SZ,长盈精密,20100901,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002402.SZ,和而泰,20100511,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002139.SZ,拓邦股份,20110110,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,300322.SZ,硕贝德,20120528,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002655.SZ,共达电声,20120109,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,601231.SH,环旭电子,20120109,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,300433.SZ,蓝思科技,20150109,,Y
801080.SI,电子,801085.SI,消费电子,850853.SI,品牌消费电子,002045.SZ,国光电器,20110110,,Y
801080.SI,电子,801085.SI,消费电子,850853.SI,品牌消费电子,002351.SZ,漫步者,20110110,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002600.SZ,领益智造,20180713,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002855.SZ,捷荣技术,20170301,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,300679.SZ,电连技术,20170726,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,300709.SZ,精研科技,20170925,,Y
801080.SI,电子,801085.SI,消费电子,850853.SI,品牌消费电子,688036.SH,传音控股,20190916,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,300793.SZ,佳禾智能,20190927,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,603327.SH,福蓉科技,20190506,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002947.SZ,恒铭达,20190124,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,300857.SZ,协创数据,20200713,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,603890.SH,春秋电子,20171208,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,300735.SZ,光弘科技,20171220,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,601138.SH,工业富联,20180528,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002937.SZ,兴瑞科技,20180918,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002426.SZ,胜利精密,20220729,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002993.SZ,奥海科技,20200727,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002681.SZ,奋达科技,20120130,,Y
801080.SI,电子,801085.SI,消费电子,850853.SI,品牌消费电子,002841.SZ,视源股份,20220729,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002925.SZ,盈趣科技,20180108,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,300256.SZ,星星科技,20111010,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,600203.SH,福日电子,20170629,,Y
801080.SI,电子,801085.SI,消费电子,850853.SI,品牌消费电子,300866.SZ,安克创新,20210730,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,603296.SH,华勤技术,20230731,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002635.SZ,安洁科技,20110117,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,300602.SZ,飞荣达,20170116,,Y
801080.SI,电子,801085.SI,消费电子,850853.SI,品牌消费电子,688007.SH,光峰科技,20210730,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,603626.SH,科森科技,20210730,,Y
