l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801160.SI,公用事业,801163.SI,燃气Ⅱ,851631.SI,燃气Ⅲ,002267.SZ,陕天然气,20080122,,Y
801160.SI,公用事业,801163.SI,燃气Ⅱ,851631.SI,燃气Ⅲ,600917.SH,重庆燃气,20140110,,Y
801160.SI,公用事业,801163.SI,燃气Ⅱ,851631.SI,燃气Ⅲ,603393.SH,新天然气,20160831,,Y
801160.SI,公用事业,801163.SI,燃气Ⅱ,851631.SI,燃气Ⅲ,002911.SZ,佛燃能源,20171108,,Y
801160.SI,公用事业,801163.SI,燃气Ⅱ,851631.SI,燃气Ⅲ,603053.SH,成都燃气,20191129,,Y
801160.SI,公用事业,801163.SI,燃气Ⅱ,851631.SI,燃气Ⅲ,600903.SH,贵州燃气,20171030,,Y
801160.SI,公用事业,801163.SI,燃气Ⅱ,851631.SI,燃气Ⅲ,605368.SH,蓝天燃气,20210114,,Y
801160.SI,公用事业,801163.SI,燃气Ⅱ,851631.SI,燃气Ⅲ,605090.SH,九丰能源,20210510,,Y
801160.SI,公用事业,801163.SI,燃气Ⅱ,851631.SI,燃气Ⅲ,600635.SH,大众公用,20150119,,Y
801160.SI,公用事业,801163.SI,燃气Ⅱ,851631.SI,燃气Ⅲ,600803.SH,新奥股份,20200831,,Y
801160.SI,公用事业,801163.SI,燃气Ⅱ,851631.SI,燃气Ⅲ,601139.SH,深圳燃气,20090105,,Y
