l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,000035.SZ,中国天楹,19940408,,Y
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,600874.SH,创业环保,19950630,,Y
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,000544.SZ,中原环保,19931208,,Y
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,600008.SH,首创环保,20000424,,Y
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,600323.SH,瀚蓝环境,20001225,,Y
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,000598.SZ,兴蓉环境,19960529,,Y
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,000685.SZ,中山公用,19970123,,Y
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,600187.SH,国中水务,19981111,,Y
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,600461.SH,洪城环境,20040531,,Y
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,300070.SZ,碧水源,20100412,,Y
801970.SI,环保,801971.SI,环境治理,859711.SI,大气治理,300056.SZ,中创环保,20100108,,Y
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,002034.SZ,旺能环境,20190724,,Y
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,002266.SZ,浙富控股,20200902,,Y
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,300779.SZ,惠城环保,20190506,,Y
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,601330.SH,绿色动力,20180528,,Y
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,300815.SZ,玉禾田,20200108,,Y
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,601827.SH,三峰环境,20200518,,Y
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,003039.SZ,顺控发展,20210219,,Y
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,601158.SH,重庆水务,20100111,,Y
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,601200.SH,上海环境,20170331,,Y
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,601199.SH,江南水务,20110110,,Y
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,002210.SZ,飞马国际,20220729,,Y
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,603568.SH,伟明环保,20150126,,Y
801970.SI,环保,801971.SI,环境治理,859711.SI,大气治理,600292.SH,远达环保,20121231,,Y
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,600217.SH,中再资环,20150701,,Y
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,002573.SZ,清新环境,20230704,,Y
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,300388.SZ,节能国祯,20140207,,Y
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,603588.SH,高能环境,20140120,,Y
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,000885.SZ,城发环境,20240517,,Y
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,300140.SZ,节能环境,20240730,,Y
