l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池,002074.SZ,国轩高科,20061018,,Y
801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池,688388.SH,嘉元科技,20220729,,Y
801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池,002245.SZ,蔚蓝锂芯,20080116,,Y
801730.SI,电力设备,801737.SI,电池,857375.SI,蓄电池及其他电池,300068.SZ,南都电源,20100409,,Y
801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池,000049.SZ,德赛电池,20121231,,Y
801730.SI,电力设备,801737.SI,电池,857375.SI,蓄电池及其他电池,601311.SH,骆驼股份,20110525,,Y
801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池,300014.SZ,亿纬锂能,20200724,,Y
801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池,002850.SZ,科达利,20170214,,Y
801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池,688567.SH,孚能科技,20200629,,Y
801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池,300750.SZ,宁德时代,20180528,,Y
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,001301.SZ,尚太科技,20221121,,Y
801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池,688063.SH,派能科技,20201214,,Y
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,688778.SH,厦钨新能,20210806,,Y
801730.SI,电力设备,801737.SI,电池,857375.SI,蓄电池及其他电池,688819.SH,天能股份,20210104,,Y
801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池,300207.SZ,欣旺达,20111010,,Y
801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池,300438.SZ,鹏辉能源,20210224,,Y
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,603659.SH,璞泰来,20200724,,Y
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,688707.SH,振华新材,20210827,,Y
801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池,600478.SH,科力远,20170629,,Y
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,300568.SZ,星源材质,20210730,,Y
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,300919.SZ,中伟股份,20210730,,Y
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,603026.SH,石大胜华,20210730,,Y
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,300073.SZ,当升科技,20210730,,Y
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,002709.SZ,天赐材料,20210730,,Y
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,300037.SZ,新宙邦,20210730,,Y
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,002340.SZ,格林美,20210730,,Y
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,300035.SZ,中科电气,20210730,,Y
801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池,600110.SH,诺德股份,20220729,,Y
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,688779.SH,五矿新能,20210806,,Y
801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池,688772.SH,珠海冠宇,20210917,,Y
801730.SI,电力设备,801737.SI,电池,857373.SI,锂电专用设备,688006.SH,杭可科技,20210730,,Y
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,300432.SZ,富临精工,20230704,,Y
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,688116.SH,天奈科技,20210730,,Y
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,002125.SZ,湘潭电化,20220729,,Y
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,688005.SH,容百科技,20210730,,Y
801730.SI,电力设备,801737.SI,电池,857373.SI,锂电专用设备,300457.SZ,赢合科技,20210730,,Y
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,600884.SH,杉杉股份,20210730,,Y
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,000009.SZ,中国宝安,20210730,,Y
801730.SI,电力设备,801737.SI,电池,857375.SI,蓄电池及其他电池,603031.SH,安孚科技,20230704,,Y
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,002812.SZ,恩捷股份,20210730,,Y
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,300409.SZ,道氏技术,20210730,,Y
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,301487.SZ,盟固利,20230731,,Y
801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池,301511.SZ,德福科技,20230731,,Y
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,301358.SZ,湖南裕能,20230120,,Y
801730.SI,电力设备,801737.SI,电池,857373.SI,锂电专用设备,300450.SZ,先导智能,20210730,,Y
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,300769.SZ,德方纳米,20210730,,Y
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,300390.SZ,天华新能,20230915,,Y
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,603906.SH,龙蟠科技,20230915,,Y
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,002079.SZ,苏州固锝,20240730,,Y
801730.SI,电力设备,801737.SI,电池,857373.SI,锂电专用设备,300128.SZ,锦富技术,20240730,,Y
