l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,600312.SH,平高电气,20010221,,Y
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,600089.SH,特变电工,19970618,,Y
801730.SI,电力设备,801738.SI,电网设备,857382.SI,配电设备,600468.SH,百利电气,20010612,,Y
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,600550.SH,保变电气,20010226,,Y
801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他,600973.SH,宝胜股份,20040730,,Y
801730.SI,电力设备,801738.SI,电网设备,857321.SI,电网自动化设备,002169.SZ,智光电气,20070918,,Y
801730.SI,电力设备,801738.SI,电网设备,857382.SI,配电设备,601877.SH,正泰电器,20100104,,Y
801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他,002276.SZ,万马股份,20090629,,Y
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,300001.SZ,特锐德,20091022,,Y
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,601179.SH,中国西电,20100112,,Y
801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他,002533.SZ,金杯电工,20101222,,Y
801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他,002498.SZ,汉缆股份,20101027,,Y
801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他,601700.SH,风范股份,20110106,,Y
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,002270.SZ,华明装备,20170629,,Y
801730.SI,电力设备,801738.SI,电网设备,857382.SI,配电设备,002706.SZ,良信股份,20140108,,Y
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,002028.SZ,思源电气,20190724,,Y
801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他,603530.SH,神马电力,20190702,,Y
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,688676.SH,金盘科技,20210219,,Y
801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他,605222.SH,起帆电缆,20200721,,Y
801730.SI,电力设备,801738.SI,电网设备,857382.SI,配电设备,603016.SH,新宏泰,20160701,,Y
801730.SI,电力设备,801738.SI,电网设备,857382.SI,配电设备,601567.SH,三星医疗,20220729,,Y
801730.SI,电力设备,801738.SI,电网设备,857321.SI,电网自动化设备,688248.SH,南网科技,20211203,,Y
801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他,600869.SH,远东股份,20090601,,Y
801730.SI,电力设备,801738.SI,电网设备,857321.SI,电网自动化设备,600885.SH,宏发股份,20020430,,Y
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,300140.SZ,节能环境,20220729,,Y
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,600525.SH,长园集团,20210730,,Y
801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他,600577.SH,精达股份,20190724,,Y
801730.SI,电力设备,801738.SI,电网设备,857321.SI,电网自动化设备,300222.SZ,科大智能,20210730,,Y
801730.SI,电力设备,801738.SI,电网设备,857323.SI,电工仪器仪表,603556.SH,海兴电力,20210730,,Y
801730.SI,电力设备,801738.SI,电网设备,857323.SI,电工仪器仪表,300360.SZ,炬华科技,20140108,,Y
801730.SI,电力设备,801738.SI,电网设备,857321.SI,电网自动化设备,601126.SH,四方股份,20101224,,Y
801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他,000720.SZ,新能泰山,20220729,,Y
801730.SI,电力设备,801738.SI,电网设备,857321.SI,电网自动化设备,603050.SH,科林电气,20170330,,Y
801730.SI,电力设备,801738.SI,电网设备,857321.SI,电网自动化设备,000682.SZ,东方电子,19970121,,Y
801730.SI,电力设备,801738.SI,电网设备,857321.SI,电网自动化设备,600406.SH,国电南瑞,20031015,,Y
801730.SI,电力设备,801738.SI,电网设备,857321.SI,电网自动化设备,600268.SH,国电南自,19991118,,Y
801730.SI,电力设备,801738.SI,电网设备,857321.SI,电网自动化设备,000400.SZ,许继电气,19970409,,Y
801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他,603606.SH,东方电缆,20140127,,Y
801730.SI,电力设备,801738.SI,电网设备,857323.SI,电工仪器仪表,002121.SZ,科陆电子,20070306,,Y
