l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801050.SI,有色金属,801056.SI,能源金属,850543.SI,锂,002176.SZ,江特电机,20220729,,Y
801050.SI,有色金属,801056.SI,能源金属,850543.SI,锂,000762.SZ,西藏矿业,19970708,,Y
801050.SI,有色金属,801056.SI,能源金属,850543.SI,锂,002756.SZ,永兴材料,20220729,,Y
801050.SI,有色金属,801056.SI,能源金属,850561.SI,钴,301219.SZ,腾远钴业,20220304,,Y
801050.SI,有色金属,801056.SI,能源金属,850543.SI,锂,002240.SZ,盛新锂能,20080505,,Y
801050.SI,有色金属,801056.SI,能源金属,850543.SI,锂,002192.SZ,融捷股份,20220401,,Y
801050.SI,有色金属,801056.SI,能源金属,850543.SI,锂,002497.SZ,雅化集团,20220729,,Y
801050.SI,有色金属,801056.SI,能源金属,850543.SI,锂,000408.SZ,藏格矿业,20230704,,Y
801050.SI,有色金属,801056.SI,能源金属,850561.SI,钴,603799.SH,华友钴业,20210730,,Y
801050.SI,有色金属,801056.SI,能源金属,850543.SI,锂,002466.SZ,天齐锂业,20100812,,Y
801050.SI,有色金属,801056.SI,能源金属,850543.SI,锂,002460.SZ,赣锋锂业,20100728,,Y
801050.SI,有色金属,801056.SI,能源金属,850562.SI,镍,605376.SH,博迁新材,20230704,,Y
801050.SI,有色金属,801056.SI,能源金属,850561.SI,钴,300618.SZ,寒锐钴业,20210730,,Y
