l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801890.SI,机械设备,801078.SI,自动化设备,850782.SI,工控设备,300048.SZ,合康新能,20100105,,Y
801890.SI,机械设备,801078.SI,自动化设备,850782.SI,工控设备,300124.SZ,汇川技术,20100908,,Y
801890.SI,机械设备,801078.SI,自动化设备,850782.SI,工控设备,603025.SH,大豪科技,20150413,,Y
801890.SI,机械设备,801078.SI,自动化设备,850782.SI,工控设备,603583.SH,捷昌驱动,20180831,,Y
801890.SI,机械设备,801078.SI,自动化设备,850781.SI,机器人,688017.SH,绿的谐波,20200814,,Y
801890.SI,机械设备,801078.SI,自动化设备,850782.SI,工控设备,688698.SH,伟创电气,20201214,,Y
801890.SI,机械设备,801078.SI,自动化设备,850784.SI,其他自动化设备,301029.SZ,怡合达,20210705,,Y
801890.SI,机械设备,801078.SI,自动化设备,850781.SI,机器人,002979.SZ,雷赛智能,20200325,,Y
801890.SI,机械设备,801078.SI,自动化设备,850782.SI,工控设备,688777.SH,中控技术,20201124,,Y
801890.SI,机械设备,801078.SI,自动化设备,850782.SI,工控设备,300083.SZ,创世纪,20110110,,Y
801890.SI,机械设备,801078.SI,自动化设备,850783.SI,激光设备,300747.SZ,锐科激光,20210730,,Y
801890.SI,机械设备,801078.SI,自动化设备,850781.SI,机器人,688090.SH,瑞松科技,20210730,,Y
801890.SI,机械设备,801078.SI,自动化设备,850784.SI,其他自动化设备,688003.SH,天准科技,20210730,,Y
801890.SI,机械设备,801078.SI,自动化设备,850782.SI,工控设备,603203.SH,快克智能,20210730,,Y
801890.SI,机械设备,801078.SI,自动化设备,850784.SI,其他自动化设备,688686.SH,奥普特,20210730,,Y
801890.SI,机械设备,801078.SI,自动化设备,850782.SI,工控设备,603283.SH,赛腾股份,20210730,,Y
801890.SI,机械设备,801078.SI,自动化设备,850782.SI,工控设备,002957.SZ,科瑞技术,20210730,,Y
801890.SI,机械设备,801078.SI,自动化设备,850782.SI,工控设备,300278.SZ,华昌达,20210730,,Y
801890.SI,机械设备,801078.SI,自动化设备,850783.SI,激光设备,000988.SZ,华工科技,20210730,,Y
801890.SI,机械设备,801078.SI,自动化设备,850784.SI,其他自动化设备,688097.SH,博众精工,20210730,,Y
801890.SI,机械设备,801078.SI,自动化设备,850783.SI,激光设备,688518.SH,联赢激光,20210730,,Y
801890.SI,机械设备,801078.SI,自动化设备,850781.SI,机器人,300024.SZ,机器人,20210730,,Y
801890.SI,机械设备,801078.SI,自动化设备,850783.SI,激光设备,688559.SH,海目星,20210730,,Y
801890.SI,机械设备,801078.SI,自动化设备,850781.SI,机器人,688165.SH,埃夫特-U,20210730,,Y
801890.SI,机械设备,801078.SI,自动化设备,850781.SI,机器人,002747.SZ,埃斯顿,20210730,,Y
801890.SI,机械设备,801078.SI,自动化设备,850782.SI,工控设备,301510.SZ,固高科技,20230731,,Y
801890.SI,机械设备,801078.SI,自动化设备,850781.SI,机器人,603416.SH,信捷电气,20161212,,Y
801890.SI,机械设备,801078.SI,自动化设备,850783.SI,激光设备,002008.SZ,大族激光,20210730,,Y
801890.SI,机械设备,801078.SI,自动化设备,850784.SI,其他自动化设备,300757.SZ,罗博特科,20210730,,Y
801890.SI,机械设备,801078.SI,自动化设备,850781.SI,机器人,002698.SZ,博实股份,20210730,,Y
801890.SI,机械设备,801078.SI,自动化设备,850784.SI,其他自动化设备,603960.SH,克来机电,20210730,,Y
