l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,000977.SZ,浪潮信息,20000608,,Y
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,000997.SZ,新大陆,20000801,,Y
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,000066.SZ,中国长城,19970626,,Y
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,600100.SH,同方股份,19970627,,Y
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,002152.SZ,广电运通,20070810,,Y
801750.SI,计算机,801101.SI,计算机设备,850702.SI,安防设备,002236.SZ,大华股份,20080520,,Y
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,002268.SZ,电科网安,20080722,,Y
801750.SI,计算机,801101.SI,计算机设备,850702.SI,安防设备,002415.SZ,海康威视,20100512,,Y
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,300130.SZ,新国都,20101008,,Y
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,001309.SZ,德明利,20220624,,Y
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,300302.SZ,同有科技,20120313,,Y
801750.SI,计算机,801101.SI,计算机设备,850702.SI,安防设备,688475.SH,萤石网络,20221209,,Y
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,300531.SZ,优博讯,20160804,,Y
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,603019.SH,中科曙光,20140124,,Y
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,603496.SH,恒为科技,20170522,,Y
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,603106.SH,恒银科技,20170907,,Y
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,688188.SH,柏楚电子,20190724,,Y
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,688208.SH,道通科技,20200122,,Y
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,603516.SH,淳中科技,20180129,,Y
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,002970.SZ,锐明技术,20191129,,Y
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,600855.SH,航天长峰,19940328,,Y
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,300455.SZ,航天智装,20170629,,Y
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,002180.SZ,纳思达,20230317,,Y
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,300324.SZ,旋极信息,20210730,,Y
801750.SI,计算机,801101.SI,计算机设备,850702.SI,安防设备,603508.SH,思维列控,20210730,,Y
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,300042.SZ,朗科科技,20091221,,Y
801750.SI,计算机,801101.SI,计算机设备,850702.SI,安防设备,605118.SH,力鼎光电,20210730,,Y
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,300847.SZ,中船汉光,20240730,,Y
