l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801050.SI,有色金属,801053.SI,贵金属,850531.SI,黄金,001337.SZ,四川黄金,20230224,,Y
801050.SI,有色金属,801053.SI,贵金属,850531.SI,黄金,600988.SH,赤峰黄金,20040414,,Y
801050.SI,有色金属,801053.SI,贵金属,850531.SI,黄金,600489.SH,中金黄金,20030812,,Y
801050.SI,有色金属,801053.SI,贵金属,850531.SI,黄金,600547.SH,山东黄金,20030826,,Y
801050.SI,有色金属,801053.SI,贵金属,850531.SI,黄金,002155.SZ,湖南黄金,20070815,,Y
801050.SI,有色金属,801053.SI,贵金属,850531.SI,黄金,002237.SZ,恒邦股份,20080428,,Y
801050.SI,有色金属,801053.SI,贵金属,850531.SI,黄金,601069.SH,西部黄金,20150115,,Y
801050.SI,有色金属,801053.SI,贵金属,850531.SI,黄金,000975.SZ,山金国际,20190724,,Y
801050.SI,有色金属,801053.SI,贵金属,850532.SI,白银,002716.SZ,湖南白银,20210730,,Y
801050.SI,有色金属,801053.SI,贵金属,850531.SI,黄金,601028.SH,玉龙股份,20240730,,Y
