l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,000503.SZ,国新健康,19921130,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,301153.SZ,中科江南,20220429,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,000948.SZ,南天信息,19991014,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,600588.SH,用友网络,20010518,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,600570.SH,恒生电子,20031211,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,002063.SZ,远光软件,20060823,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,002153.SZ,石基信息,20070810,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300098.SZ,高新兴,20100722,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,002230.SZ,科大讯飞,20080417,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300033.SZ,同花顺,20091210,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,300036.SZ,超图软件,20091210,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300047.SZ,天源迪科,20091229,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,002405.SZ,四维图新,20100512,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,002439.SZ,启明星辰,20100602,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300085.SZ,银之杰,20100512,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,002410.SZ,广联达,20100512,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300226.SZ,上海钢联,20110530,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,601519.SH,大智慧,20110119,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,300378.SZ,鼎捷数智,20140108,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300380.SZ,安硕信息,20140122,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300379.SZ,东方通,20140122,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300229.SZ,拓尔思,20110607,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300188.SZ,国投智能,20110307,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300253.SZ,卫宁健康,20110805,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300348.SZ,长亮科技,20120808,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300352.SZ,北信源,20120904,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300451.SZ,创业慧康,20150106,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,300766.SZ,每日互动,20211224,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,603528.SH,多伦科技,20160418,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300520.SZ,科大国创,20160624,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300377.SZ,赢时胜,20140108,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,300369.SZ,绿盟科技,20140108,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300366.SZ,创意信息,20140108,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,603383.SH,顶点软件,20170504,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300663.SZ,科蓝软件,20170522,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,603039.SH,泛微网络,20170105,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300469.SZ,信息发展,20150611,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300525.SZ,博思软件,20160718,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300542.SZ,新晨科技,20160907,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,002920.SZ,德赛西威,20171208,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,688023.SH,安恒信息,20191023,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,603927.SH,中科软,20190822,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,300768.SZ,迪普科技,20190326,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,688111.SH,金山办公,20191101,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300925.SZ,法本信息,20201214,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300803.SZ,指南针,20191101,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,688561.SH,奇安信-U,20200713,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,688318.SH,财富趋势,20200413,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,002261.SZ,拓维信息,20220121,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,002987.SZ,京北方,20200416,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,688095.SH,福昕软件,20200831,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,601360.SH,三六零,20120116,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,300454.SZ,深信服,20180507,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300579.SZ,数字认证,20161212,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300468.SZ,四方精创,20150126,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,300624.SZ,万兴科技,20180108,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300598.SZ,诚迈科技,20170116,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,688326.SH,经纬恒润-W,20220330,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,301269.SZ,华大九天,20220715,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,600602.SH,云赛智联,20180619,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,600654.SH,中安科,20180619,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,301095.SZ,广立微,20220725,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,688631.SH,莱斯信息,20230609,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,688083.SH,中望软件,20210301,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300075.SZ,数字政通,20100419,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300465.SZ,高伟达,20150126,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,002212.SZ,天融信,20210730,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,002322.SZ,理工能科,20210730,,Y
