l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,000839.SZ,中信国安,20220729,,Y
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,002093.SZ,国脉科技,20061214,,Y
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,002123.SZ,梦网科技,20070328,,Y
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,002467.SZ,二六三,20100818,,Y
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,002544.SZ,普天科技,20110119,,Y
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,300310.SZ,宜通世纪,20120416,,Y
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,300292.SZ,吴通控股,20120221,,Y
801770.SI,通信,801223.SI,通信服务,852212.SI,电信运营商,600941.SH,中国移动,20211217,,Y
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,603322.SH,超讯通信,20160718,,Y
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,002929.SZ,润建股份,20180212,,Y
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,603220.SH,中贝通信,20181030,,Y
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,300053.SZ,航宇微,20220729,,Y
801770.SI,通信,801223.SI,通信服务,852212.SI,电信运营商,600050.SH,中国联通,20021008,,Y
801770.SI,通信,801223.SI,通信服务,852212.SI,电信运营商,601728.SH,中国电信,20210813,,Y
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,300383.SZ,光环新网,20230704,,Y
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,300442.SZ,润泽科技,20230704,,Y
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,300738.SZ,奥飞数据,20230704,,Y
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,603881.SH,数据港,20230704,,Y
