l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,000595.SZ,宝塔实业,19960419,,Y
801890.SI,机械设备,801072.SI,通用设备,850711.SI,机床工具,000410.SZ,沈阳机床,19960718,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,000777.SZ,中核科技,19970710,,Y
801890.SI,机械设备,801072.SI,通用设备,850715.SI,制冷空调设备,000811.SZ,冰轮环境,19980528,,Y
801890.SI,机械设备,801072.SI,通用设备,850711.SI,机床工具,000837.SZ,秦川机床,19980928,,Y
801890.SI,机械设备,801072.SI,通用设备,850715.SI,制冷空调设备,002158.SZ,汉钟精机,20070816,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,002444.SZ,巨星科技,20100712,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,300145.SZ,中金环境,20101129,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,688333.SH,铂力特,20220729,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,002438.SZ,江苏神通,20100601,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,300260.SZ,新莱应材,20110823,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,300257.SZ,开山股份,20110809,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,603308.SH,应流股份,20140108,,Y
801890.SI,机械设备,801072.SI,通用设备,850711.SI,机床工具,300161.SZ,华中数控,20110104,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,300441.SZ,鲍斯股份,20150413,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,300470.SZ,中密控股,20150115,,Y
801890.SI,机械设备,801072.SI,通用设备,850711.SI,机床工具,601882.SH,海天精工,20161028,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,603131.SH,上海沪工,20160525,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,603667.SH,五洲新春,20161017,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,603699.SH,纽威股份,20140108,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,001696.SZ,宗申动力,20140701,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,002884.SZ,凌霄泵业,20170711,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,603915.SH,国茂股份,20190529,,Y
801890.SI,机械设备,801072.SI,通用设备,850715.SI,制冷空调设备,603277.SH,银都股份,20190724,,Y
801890.SI,机械设备,801072.SI,通用设备,850711.SI,机床工具,688305.SH,科德数控,20210630,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,002445.SZ,中南文化,20220729,,Y
801890.SI,机械设备,801072.SI,通用设备,850731.SI,仪器仪表,300862.SZ,蓝盾光电,20200731,,Y
801890.SI,机械设备,801072.SI,通用设备,850713.SI,磨具磨料,300861.SZ,美畅股份,20200731,,Y
801890.SI,机械设备,801072.SI,通用设备,850713.SI,磨具磨料,002046.SZ,国机精工,20220729,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,300263.SZ,隆华科技,20170629,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,600114.SH,东睦股份,20210730,,Y
801890.SI,机械设备,801072.SI,通用设备,850731.SI,仪器仪表,603100.SH,川仪股份,20210730,,Y
801890.SI,机械设备,801072.SI,通用设备,850713.SI,磨具磨料,600783.SH,鲁信创投,20220729,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,600343.SH,航天动力,20220729,,Y
801890.SI,机械设备,801072.SI,通用设备,850731.SI,仪器仪表,300567.SZ,精测电子,20161122,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,000039.SZ,中集集团,19940408,,Y
801890.SI,机械设备,801072.SI,通用设备,850731.SI,仪器仪表,300349.SZ,金卡智能,20120809,,Y
801890.SI,机械设备,801072.SI,通用设备,850711.SI,机床工具,002122.SZ,汇洲智能,20220729,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,002131.SZ,利欧股份,20230704,,Y
801890.SI,机械设备,801072.SI,通用设备,850711.SI,机床工具,688697.SH,纽威数控,20210903,,Y
801890.SI,机械设备,801072.SI,通用设备,850731.SI,仪器仪表,688001.SH,华兴源创,20210730,,Y
801890.SI,机械设备,801072.SI,通用设备,850731.SI,仪器仪表,603662.SH,柯力传感,20190724,,Y
801890.SI,机械设备,801072.SI,通用设备,850731.SI,仪器仪表,605056.SH,咸亨国际,20210615,,Y
801890.SI,机械设备,801072.SI,通用设备,850731.SI,仪器仪表,002819.SZ,东方中科,20161028,,Y
