l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801140.SI,轻工制造,801143.SI,造纸,851412.SI,大宗用纸,000488.SZ,晨鸣纸业,20001120,,Y
801140.SI,轻工制造,801143.SI,造纸,851412.SI,大宗用纸,600308.SH,华泰股份,20000928,,Y
801140.SI,轻工制造,801143.SI,造纸,851412.SI,大宗用纸,000815.SZ,美利云,19980609,,Y
801140.SI,轻工制造,801143.SI,造纸,851412.SI,大宗用纸,600567.SH,山鹰国际,20011218,,Y
801140.SI,轻工制造,801143.SI,造纸,851412.SI,大宗用纸,600963.SH,岳阳林纸,20040525,,Y
801140.SI,轻工制造,801143.SI,造纸,851412.SI,大宗用纸,600966.SH,博汇纸业,20040604,,Y
801140.SI,轻工制造,801143.SI,造纸,851413.SI,特种纸,600433.SH,冠豪高新,20030617,,Y
801140.SI,轻工制造,801143.SI,造纸,851412.SI,大宗用纸,002078.SZ,太阳纸业,20061026,,Y
801140.SI,轻工制造,801143.SI,造纸,851412.SI,大宗用纸,603863.SH,松炀资源,20190520,,Y
801140.SI,轻工制造,801143.SI,造纸,851413.SI,特种纸,605007.SH,五洲特纸,20201026,,Y
801140.SI,轻工制造,801143.SI,造纸,851413.SI,特种纸,603733.SH,仙鹤股份,20180403,,Y
801140.SI,轻工制造,801143.SI,造纸,851413.SI,特种纸,605377.SH,华旺科技,20201214,,Y
