l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801120.SI,食品饮料,801124.SI,食品加工,851241.SI,肉制品,000895.SZ,双汇发展,19981210,,Y
801120.SI,食品饮料,801124.SI,食品加工,851241.SI,肉制品,002515.SZ,金字火腿,20101122,,Y
801120.SI,食品饮料,801124.SI,食品加工,851241.SI,肉制品,002840.SZ,华统股份,20161219,,Y
801120.SI,食品饮料,801124.SI,食品加工,851241.SI,肉制品,002726.SZ,龙大美食,20140120,,Y
801120.SI,食品饮料,801124.SI,食品加工,851241.SI,肉制品,600073.SH,光明肉业,20190724,,Y
801120.SI,食品饮料,801124.SI,食品加工,851246.SI,预加工食品,002216.SZ,三全食品,20210730,,Y
801120.SI,食品饮料,801124.SI,食品加工,851247.SI,保健品,300791.SZ,仙乐健康,20210730,,Y
801120.SI,食品饮料,801124.SI,食品加工,851247.SI,保健品,300146.SZ,汤臣倍健,20210730,,Y
801120.SI,食品饮料,801124.SI,食品加工,851247.SI,保健品,002626.SZ,金达威,20210730,,Y
801120.SI,食品饮料,801124.SI,食品加工,851246.SI,预加工食品,603345.SH,安井食品,20210730,,Y
