l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801120.SI,食品饮料,801127.SI,饮料乳品,851271.SI,软饮料,000848.SZ,承德露露,19971113,,Y
801120.SI,食品饮料,801127.SI,饮料乳品,851271.SI,软饮料,603711.SH,香飘飘,20171121,,Y
801120.SI,食品饮料,801127.SI,饮料乳品,851271.SI,软饮料,603156.SH,养元饮品,20180129,,Y
801120.SI,食品饮料,801127.SI,饮料乳品,851271.SI,软饮料,605499.SH,东鹏饮料,20210512,,Y
801120.SI,食品饮料,801127.SI,饮料乳品,851243.SI,乳品,600882.SH,妙可蓝多,20110110,,Y
801120.SI,食品饮料,801127.SI,饮料乳品,851271.SI,软饮料,600189.SH,泉阳泉,20190724,,Y
801120.SI,食品饮料,801127.SI,饮料乳品,851243.SI,乳品,002946.SZ,新乳业,20190124,,Y
801120.SI,食品饮料,801127.SI,饮料乳品,851243.SI,乳品,600429.SH,三元股份,20030915,,Y
801120.SI,食品饮料,801127.SI,饮料乳品,851243.SI,乳品,600597.SH,光明乳业,20020828,,Y
801120.SI,食品饮料,801127.SI,饮料乳品,851243.SI,乳品,600887.SH,伊利股份,19960312,,Y
