l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,688327.SH,云从科技-UW,20220429,,Y,0.02687,-0.04003,0.2145
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,301316.SZ,慧博云通,20220916,,Y,-0.01777,0.09948,0.55902
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,300017.SZ,网宿科技,20091012,,Y,0.01818,0.02146,0.36
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,301236.SZ,软通动力,20220225,,Y,0.02213,-0.04942,1.09888
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,600845.SH,宝信软件,20020430,,Y,-0.05977,-0.12603,-0.10617
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,600728.SH,佳都科技,20000901,,Y,0.02559,0.0105,0.27586
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,002421.SZ,达实智能,20100520,,Y,0.16225,0.18182,0.58824
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,300287.SZ,飞利信,20120116,,Y,-0.12069,-0.01734,0.91729
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,603171.SH,税友股份,20210615,,Y,0.03436,0.04622,0.20115
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,688158.SH,优刻得-W,20200106,,Y,0.04925,0.04552,0.50307
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,600571.SH,信雅达,20021031,,Y,0.01664,0.12846,0.45928
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,002195.SZ,岩山科技,20071211,,Y,0.05923,0.0519,0.27731
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,600446.SH,金证股份,20031219,,Y,0.12259,0.06997,0.65789
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,002657.SZ,中科金财,20120220,,Y,0.16409,0.1493,0.66575
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,600225.SH,卓朗科技,20220729,,Y,-0.11974,0.03422,0.55429
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,300895.SZ,铜牛信息,20200909,,Y,-0.05339,-0.0236,0.42243
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,600756.SH,浪潮软件,20010831,,Y,0.10229,0.17588,0.58875
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,002065.SZ,东华软件,20060808,,Y,0.16498,0.14191,0.55506
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,002373.SZ,千方科技,20100301,,Y,0.01165,0.0568,0.2661
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,300532.SZ,今天国际,20160804,,Y,-0.08546,-0.09415,0.39634
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,002232.SZ,启明信息,20080417,,Y,0.02774,-0.01002,-0.08348
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,688343.SH,云天励飞-U,20230317,,Y,0.0622,0.04849,0.27342
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,688066.SH,航天宏图,20190711,,Y,-0.03016,0.16332,0.44237
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,300079.SZ,数码视讯,20100422,,Y,0.03866,0.07455,0.4962
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,600410.SH,华胜天成,20040423,,Y,0.03922,0.03186,0.53826
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,300687.SZ,赛意信息,20170726,,Y,-0.00104,-0.05547,0.56678
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,688088.SH,虹软科技,20190708,,Y,0.04676,-0.03628,0.44616
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,002368.SZ,太极股份,20100222,,Y,0.04275,0.15558,0.71548
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,300682.SZ,朗新集团,20170726,,Y,0.10216,0.0486,0.5716
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,002530.SZ,金财互联,20210730,,Y,-0.01136,0.02621,0.16172
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,600718.SH,东软集团,19960618,,Y,0.12425,0.08333,0.42803
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,002777.SZ,久远银海,20151231,,Y,0.18452,0.16072,0.67707
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,600850.SH,电科数字,19940324,,Y,0.02108,0.1372,0.47463
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,300339.SZ,润和软件,20120710,,Y,0.08027,0.28545,2.58208
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,300212.SZ,易华录,20110425,,Y,-0.12166,-0.1033,0.78549
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,600271.SH,航天信息,20030707,,Y,0.02711,0.023,0.28356
