l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801720.SI,建筑装饰,801724.SI,专业工程,857243.SI,国际工程,000065.SZ,北方国际,19980605,,Y,0.02446,0.02047,0.10327
801720.SI,建筑装饰,801724.SI,专业工程,857241.SI,钢结构,600496.SH,精工钢构,20020605,,Y,0.16846,0.14789,0.33061
801720.SI,建筑装饰,801724.SI,专业工程,857241.SI,钢结构,600477.SH,杭萧钢构,20031107,,Y,0.11567,0.14559,0.31718
801720.SI,建筑装饰,801724.SI,专业工程,857243.SI,国际工程,600970.SH,中材国际,20050323,,Y,0.00852,-0.00653,0.05865
801720.SI,建筑装饰,801724.SI,专业工程,857243.SI,国际工程,002051.SZ,中工国际,20060616,,Y,0.00122,0.02363,0.14944
801720.SI,建筑装饰,801724.SI,专业工程,857244.SI,其他专业工程,002116.SZ,中国海诚,20070214,,Y,0.11657,0.19361,0.33834
801720.SI,建筑装饰,801724.SI,专业工程,857244.SI,其他专业工程,601618.SH,中国中冶,20090901,,Y,0.03869,0.09063,0.11146
801720.SI,建筑装饰,801724.SI,专业工程,857242.SI,化学工程,601117.SH,中国化学,20091221,,Y,0.00603,0.0706,0.16156
801720.SI,建筑装饰,801724.SI,专业工程,857241.SI,钢结构,002541.SZ,鸿路钢构,20110106,,Y,0.03283,0.01139,0.10704
801720.SI,建筑装饰,801724.SI,专业工程,857243.SI,国际工程,000928.SZ,中钢国际,20150701,,Y,0.04806,0.10638,0.21583
801720.SI,建筑装饰,801724.SI,专业工程,857241.SI,钢结构,603098.SH,森特股份,20161201,,Y,0.41246,0.48253,0.76985
801720.SI,建筑装饰,801724.SI,专业工程,857244.SI,其他专业工程,603929.SH,亚翔集成,20161213,,Y,-0.05748,0.10004,0.21385
801720.SI,建筑装饰,801724.SI,专业工程,857244.SI,其他专业工程,601068.SH,中铝国际,20180809,,Y,0.06875,0.16591,0.22727
801720.SI,建筑装饰,801724.SI,专业工程,857244.SI,其他专业工程,000032.SZ,深桑达A,20220729,,Y,0.0058,0.00793,0.41185
801720.SI,建筑装饰,801724.SI,专业工程,857244.SI,其他专业工程,601226.SH,华电重工,20140127,,Y,0.07246,0.12334,0.2569
