l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,000423.SZ,东阿阿胶,19960729,,Y,-0.02427,0.02587,0.26018
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,600750.SH,江中药业,19960829,,Y,-0.06449,-0.03679,-0.01919
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,000538.SZ,云南白药,19931215,,Y,0.01103,0.01085,0.16129
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,000999.SZ,华润三九,20000309,,Y,-0.04175,-0.06249,0.09495
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,600285.SH,羚锐制药,20001018,,Y,-0.12379,-0.13902,0.0283
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,600422.SH,昆药集团,20001206,,Y,0.07547,0.04623,0.03916
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,600129.SH,太极集团,19971118,,Y,0.04594,0.02937,0.08957
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,600085.SH,同仁堂,19970625,,Y,0.03245,0.05438,0.123
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,600329.SH,达仁堂,20010606,,Y,-0.03069,-0.02819,0.02549
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,600332.SH,白云山,20010206,,Y,0.00701,0.01019,-0.00965
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,600535.SH,天士力,20020823,,Y,-0.00196,-0.01546,0.04443
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,600557.SH,康缘药业,20020918,,Y,0.02381,0.01953,0.04131
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,600572.SH,康恩贝,20040409,,Y,0.04292,0.03404,0.125
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,600976.SH,健民集团,20040419,,Y,-0.01999,-0.0682,-0.06722
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,600993.SH,马应龙,20040513,,Y,0.02757,0.013,-0.05615
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,600436.SH,片仔癀,20030616,,Y,0.00999,-0.01541,0.1504
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,000650.SZ,仁和药业,20070702,,Y,-0.01681,-0.05032,0.04839
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,002349.SZ,精华制药,20100114,,Y,0.02202,0.03272,0.15689
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,600518.SH,康美药业,20090115,,Y,0.08247,0.09948,0.12299
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,002287.SZ,奇正藏药,20090112,,Y,-0.02313,0.05928,0.19557
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,002317.SZ,众生药业,20090123,,Y,0.02574,0.00458,0.10877
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,300147.SZ,香雪制药,20100106,,Y,0.32619,0.8632,1.29293
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,002603.SZ,以岭药业,20110119,,Y,0.00115,0.00753,0.08214
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,300181.SZ,佐力药业,20110110,,Y,0.0087,0.05318,0.11309
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,600252.SH,中恒集团,20110110,,Y,0.30435,0.30435,0.33929
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,603567.SH,珍宝岛,20150113,,Y,-0.00758,-0.00507,0.0758
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,002390.SZ,信邦制药,20131231,,Y,0.04348,0.04046,0.08761
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,300026.SZ,红日药业,20170629,,Y,0.0397,0.0048,0.28923
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,600771.SH,广誉远,20170629,,Y,-0.00492,-0.05997,0.11651
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,600566.SH,济川药业,20180713,,Y,0.01175,0.04871,-0.01837
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,605199.SH,葫芦娃,20200624,,Y,-0.02054,0.04706,0.30244
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,603439.SH,贵州三力,20200413,,Y,0.01644,0.02671,0.24846
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,603998.SH,方盛制药,20140127,,Y,-0.02613,0.02329,0.141
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,002275.SZ,桂林三金,20090202,,Y,-0.00533,0.01288,0.16355
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,000623.SZ,吉林敖东,20220729,,Y,0.0673,0.02147,0.34524
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,002737.SZ,葵花药业,20140120,,Y,0.00996,-0.05893,-0.08895
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,603858.SH,步长制药,20161107,,Y,0.01758,-0.01251,0.14815
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,300039.SZ,上海凯宝,20090202,,Y,0.04539,0.11452,0.27022
