l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,600601.SH,方正科技,19901219,,Y,-0.00485,0.17816,0.50735
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,000636.SZ,风华高科,19961129,,Y,0.02961,0.05433,0.24274
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,600183.SH,生益科技,19981028,,Y,0.13207,0.1104,0.25028
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,600563.SH,法拉电子,20021210,,Y,0.20648,0.26717,0.62282
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,002384.SZ,东山精密,20100322,,Y,0.39201,0.53267,0.64286
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,002436.SZ,兴森科技,20110110,,Y,0.10547,0.06759,0.3043
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,002463.SZ,沪电股份,20100809,,Y,-0.00599,-0.05873,0.38321
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,002815.SZ,崇达技术,20161012,,Y,0.01485,0.01809,0.20226
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,603228.SH,景旺电子,20161219,,Y,-0.04006,-0.0442,0.14606
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,002138.SZ,顺络电子,20080602,,Y,0.09035,0.13236,0.33026
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,002579.SZ,中京电子,20110426,,Y,0.06765,0.10433,0.36478
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,300476.SZ,胜宏科技,20150115,,Y,-0.05627,0.06093,0.48988
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,603989.SH,艾华集团,20150106,,Y,0.07267,0.03289,0.16772
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,002913.SZ,奥士康,20171121,,Y,-0.04048,-0.05255,0.02977
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,603920.SH,世运电路,20170419,,Y,0.10987,0.0202,0.61781
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,002916.SZ,深南电路,20171208,,Y,-0.01703,-0.07696,0.03162
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,300657.SZ,弘信电子,20170504,,Y,0.04016,0.06272,0.38397
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,002938.SZ,鹏鼎控股,20180918,,Y,0.02808,0.08274,0.12496
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,300814.SZ,中富电路,20210727,,Y,-0.01837,0.0496,0.38977
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,688183.SH,生益电子,20210205,,Y,0.15573,0.47491,0.78612
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,688519.SH,南亚新材,20200731,,Y,-0.00755,0.03453,0.32013
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,002484.SZ,江海股份,20100927,,Y,0.01184,0.0267,0.24736
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,603328.SH,依顿电子,20040621,,Y,0.00103,0.0083,0.41691
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,603738.SH,泰晶科技,20160928,,Y,0.06941,0.06154,0.24568
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,603936.SH,博敏电子,20151209,,Y,0.06102,0.10993,0.29696
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,300975.SZ,商络电子,20220729,,Y,0.23222,0.37312,0.60681
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,300408.SZ,三环集团,20140127,,Y,0.02202,0.02509,0.21454
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,002636.SZ,金安国纪,20110117,,Y,0.13671,0.10864,0.4843
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,300319.SZ,麦捷科技,20210730,,Y,0.03206,0.18492,0.55844
