l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801730.SI,电力设备,801735.SI,光伏设备,857351.SI,硅料硅片,600438.SH,通威股份,20040301,,Y,0.26762,0.41841,0.70334
801730.SI,电力设备,801735.SI,光伏设备,857352.SI,光伏电池组件,002459.SZ,晶澳科技,20100809,,Y,0.04301,0.3878,0.7963
801730.SI,电力设备,801735.SI,光伏设备,857354.SI,光伏辅材,002218.SZ,拓日新能,20080226,,Y,0.0218,0.06838,0.33452
801730.SI,电力设备,801735.SI,光伏设备,857353.SI,逆变器,688348.SH,昱能科技,20220520,,Y,-0.00833,-0.07643,0.32768
801730.SI,电力设备,801735.SI,光伏设备,857352.SI,光伏电池组件,300118.SZ,东方日升,20100818,,Y,-0.05458,0.0834,0.35294
801730.SI,电力设备,801735.SI,光伏设备,857353.SI,逆变器,300274.SZ,阳光电源,20111024,,Y,-0.05793,-0.06468,0.38008
801730.SI,电力设备,801735.SI,光伏设备,857355.SI,光伏加工设备,300316.SZ,晶盛机电,20120427,,Y,-0.05848,-0.08299,0.28401
801730.SI,电力设备,801735.SI,光伏设备,857352.SI,光伏电池组件,002506.SZ,协鑫集成,20111010,,Y,0.43534,0.48661,0.71649
801730.SI,电力设备,801735.SI,光伏设备,857352.SI,光伏电池组件,688223.SH,晶科能源,20220107,,Y,-0.01799,0.01866,0.33525
801730.SI,电力设备,801735.SI,光伏设备,857352.SI,光伏电池组件,300393.SZ,中来股份,20140116,,Y,-0.02683,0.05,0.42755
801730.SI,电力设备,801735.SI,光伏设备,857351.SI,硅料硅片,002129.SZ,TCL中环,20170629,,Y,0.05121,0.16418,0.41818
801730.SI,电力设备,801735.SI,光伏设备,857353.SI,逆变器,300763.SZ,锦浪科技,20190318,,Y,-0.105,-0.07058,0.14533
801730.SI,电力设备,801735.SI,光伏设备,857353.SI,逆变器,300827.SZ,上能电气,20200402,,Y,0.18668,0.22041,0.6689
801730.SI,电力设备,801735.SI,光伏设备,857353.SI,逆变器,688390.SH,固德威,20200821,,Y,-0.0572,-0.07845,-0.06546
801730.SI,电力设备,801735.SI,光伏设备,857354.SI,光伏辅材,688408.SH,中信博,20200811,,Y,-0.05211,0.01045,0.36592
801730.SI,电力设备,801735.SI,光伏设备,857354.SI,光伏辅材,603212.SH,赛伍技术,20200416,,Y,0.02307,0.10671,0.32714
801730.SI,电力设备,801735.SI,光伏设备,857351.SI,硅料硅片,688303.SH,大全能源,20210709,,Y,-0.00253,0.14141,0.59555
801730.SI,电力设备,801735.SI,光伏设备,857352.SI,光伏电池组件,688599.SH,天合光能,20200602,,Y,-0.03839,0.13964,0.5241
801730.SI,电力设备,801735.SI,光伏设备,857352.SI,光伏电池组件,601012.SH,隆基绿能,20220729,,Y,0.00255,0.13141,0.39319
801730.SI,电力设备,801735.SI,光伏设备,857355.SI,光伏加工设备,000821.SZ,京山轻机,20220729,,Y,0.1269,0.15454,0.29423
