l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801740.SI,国防军工,801745.SI,军工电子Ⅱ,857451.SI,军工电子Ⅲ,002446.SZ,盛路通信,20100712,,Y,0.05806,0.11128,0.32545
801740.SI,国防军工,801745.SI,军工电子Ⅱ,857451.SI,军工电子Ⅲ,300045.SZ,华力创通,20091229,,Y,-0.05594,0.18766,0.58769
801740.SI,国防军工,801745.SI,军工电子Ⅱ,857451.SI,军工电子Ⅲ,300177.SZ,中海达,20110127,,Y,0.03104,-0.01206,0.74326
801740.SI,国防军工,801745.SI,军工电子Ⅱ,857451.SI,军工电子Ⅲ,688002.SH,睿创微纳,20190626,,Y,0.06446,0.07025,0.98796
801740.SI,国防军工,801745.SI,军工电子Ⅱ,857451.SI,军工电子Ⅲ,688439.SH,振华风光,20220812,,Y,-0.08218,-0.14076,0.15315
801740.SI,国防军工,801745.SI,军工电子Ⅱ,857451.SI,军工电子Ⅲ,603712.SH,七一二,20180212,,Y,-0.04599,0.02695,0.06747
801740.SI,国防军工,801745.SI,军工电子Ⅱ,857451.SI,军工电子Ⅲ,300397.SZ,天和防务,20220729,,Y,-0.07766,0.31847,0.58882
801740.SI,国防军工,801745.SI,军工电子Ⅱ,857451.SI,军工电子Ⅲ,600590.SH,泰豪科技,20220729,,Y,-0.03014,0.19694,0.56734
801740.SI,国防军工,801745.SI,军工电子Ⅱ,857451.SI,军工电子Ⅲ,301050.SZ,雷电微力,20210813,,Y,0.00083,0.35072,0.79183
801740.SI,国防军工,801745.SI,军工电子Ⅱ,857451.SI,军工电子Ⅲ,688776.SH,国光电气,20210820,,Y,0.04362,0.27198,0.47792
801740.SI,国防军工,801745.SI,军工电子Ⅱ,857451.SI,军工电子Ⅲ,002179.SZ,中航光电,20210730,,Y,0.02386,0.05301,0.22681
801740.SI,国防军工,801745.SI,军工电子Ⅱ,857451.SI,军工电子Ⅲ,002413.SZ,雷科防务,20210730,,Y,0.05696,0.16783,0.35405
801740.SI,国防军工,801745.SI,军工电子Ⅱ,857451.SI,军工电子Ⅲ,688311.SH,盟升电子,20210730,,Y,-0.04408,0.2066,0.71753
