l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801030.SI,基础化工,801038.SI,农化制品,850331.SI,氮肥,600426.SH,华鲁恒升,20220729,,Y,-0.00581,-0.01925,0.03457
801030.SI,基础化工,801038.SI,农化制品,850332.SI,磷肥及磷化工,002895.SZ,川恒股份,20170815,,Y,0.02398,0.04812,0.33374
801030.SI,基础化工,801038.SI,农化制品,850332.SI,磷肥及磷化工,603077.SH,和邦生物,20220729,,Y,0.04455,0.03941,0.24118
801030.SI,基础化工,801038.SI,农化制品,850331.SI,氮肥,000422.SZ,湖北宜化,20220729,,Y,0.03375,0.05385,0.26254
801030.SI,基础化工,801038.SI,农化制品,850332.SI,磷肥及磷化工,600331.SH,宏达股份,20220729,,Y,0.31232,0.35196,0.65129
801030.SI,基础化工,801038.SI,农化制品,850336.SI,钾肥,002545.SZ,东方铁塔,20220729,,Y,0.11283,0.08926,0.198
801030.SI,基础化工,801038.SI,农化制品,850332.SI,磷肥及磷化工,600141.SH,兴发集团,20110110,,Y,0.0519,0.0919,0.37201
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,000553.SZ,安道麦A,19931203,,Y,0.05758,0.32952,0.59725
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,603599.SH,广信股份,20150106,,Y,0.01175,-0.04359,0.04775
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,002215.SZ,诺普信,20080102,,Y,0.01756,0.06552,0.4196
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,002250.SZ,联化科技,20080128,,Y,0.07857,0.07473,0.2377
801030.SI,基础化工,801038.SI,农化制品,850381.SI,复合肥,002539.SZ,云图控股,20110110,,Y,-0.0146,-0.01818,0.22356
801030.SI,基础化工,801038.SI,农化制品,850336.SI,钾肥,000893.SZ,亚钾国际,20190724,,Y,0.16448,0.18389,0.3269
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,600486.SH,扬农化工,20020401,,Y,0.0249,0.03621,0.10783
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,603360.SH,百傲化学,20170116,,Y,0.09412,0.24869,0.94986
801030.SI,基础化工,801038.SI,农化制品,850381.SI,复合肥,002470.SZ,金正大,20110110,,Y,0.17391,0.21935,0.34043
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,002749.SZ,国光股份,20150116,,Y,-0.0069,0.00856,-0.0828
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,600389.SH,江山股份,20010110,,Y,0.07457,0.04489,0.25145
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,600596.SH,新安股份,20230704,,Y,0.02667,0.01074,0.10719
801030.SI,基础化工,801038.SI,农化制品,850331.SI,氮肥,600691.SH,阳煤化工,20130104,,Y,0.11521,0.10502,0.57143
801030.SI,基础化工,801038.SI,农化制品,850381.SI,复合肥,002588.SZ,史丹利,20111010,,Y,0.0,-0.06369,0.17038
801030.SI,基础化工,801038.SI,农化制品,850336.SI,钾肥,000792.SZ,盐湖股份,19970904,,Y,0.05275,0.07301,0.29863
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,301035.SZ,润丰股份,20210712,,Y,0.08144,0.04168,0.31689
801030.SI,基础化工,801038.SI,农化制品,850331.SI,氮肥,000912.SZ,泸天化,19990104,,Y,-0.00691,0.0311,0.23496
801030.SI,基础化工,801038.SI,农化制品,850332.SI,磷肥及磷化工,002312.SZ,川发龙蟒,20210730,,Y,0.88614,1.38622,2.44796
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,300261.SZ,雅本化学,20170629,,Y,0.24597,0.25516,0.63654
801030.SI,基础化工,801038.SI,农化制品,850381.SI,复合肥,000902.SZ,新洋丰,19990104,,Y,-0.00957,-0.00222,0.22922
801030.SI,基础化工,801038.SI,农化制品,850332.SI,磷肥及磷化工,600096.SH,云天化,20170629,,Y,0.006,0.06434,0.24154
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,002258.SZ,利尔化学,20080118,,Y,0.02683,-0.00355,0.12718
