l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801780.SI,银行,801785.SI,农商行Ⅱ,857851.SI,农商行Ⅲ,603323.SH,苏农银行,20161028,,Y,-0.00579,0.02794,0.06625
801780.SI,银行,801785.SI,农商行Ⅱ,857851.SI,农商行Ⅲ,002807.SZ,江阴银行,20160804,,Y,-0.00723,0.02743,0.10456
801780.SI,银行,801785.SI,农商行Ⅱ,857851.SI,农商行Ⅲ,002839.SZ,张家港行,20161219,,Y,0.00231,0.01639,0.10433
801780.SI,银行,801785.SI,农商行Ⅱ,857851.SI,农商行Ⅲ,600908.SH,无锡银行,20160823,,Y,-0.01849,0.0069,0.12959
801780.SI,银行,801785.SI,农商行Ⅱ,857851.SI,农商行Ⅲ,601128.SH,常熟银行,20160823,,Y,-0.01245,-0.01245,0.0142
801780.SI,银行,801785.SI,农商行Ⅱ,857851.SI,农商行Ⅲ,601077.SH,渝农商行,20190916,,Y,-0.04007,0.13189,0.13412
801780.SI,银行,801785.SI,农商行Ⅱ,857851.SI,农商行Ⅲ,601860.SH,紫金银行,20181128,,Y,0.03203,0.04317,0.15538
801780.SI,银行,801785.SI,农商行Ⅱ,857851.SI,农商行Ⅲ,002958.SZ,青农商行,20190218,,Y,0.03793,0.0636,0.17121
801780.SI,银行,801785.SI,农商行Ⅱ,857851.SI,农商行Ⅲ,601528.SH,瑞丰银行,20210518,,Y,0.03475,0.0572,0.11203
801780.SI,银行,801785.SI,农商行Ⅱ,857851.SI,农商行Ⅲ,601825.SH,沪农商行,20210709,,Y,-0.01752,0.06513,0.25399
