l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801140.SI,轻工制造,801141.SI,包装印刷,851424.SI,塑料包装,600210.SH,紫江企业,19990824,,Y,0.1292,0.12721,0.3047
801140.SI,轻工制造,801141.SI,包装印刷,851424.SI,塑料包装,002014.SZ,永新股份,20040707,,Y,0.04158,0.0984,0.1323
801140.SI,轻工制造,801141.SI,包装印刷,851425.SI,纸包装,002191.SZ,劲嘉股份,20071204,,Y,0.05213,0.04717,0.27586
801140.SI,轻工制造,801141.SI,包装印刷,851422.SI,印刷,002229.SZ,鸿博股份,20080102,,Y,0.15281,0.2339,0.53263
801140.SI,轻工制造,801141.SI,包装印刷,851425.SI,纸包装,601515.SH,东峰集团,20120106,,Y,0.13166,0.28014,0.34201
801140.SI,轻工制造,801141.SI,包装印刷,851423.SI,金属包装,002752.SZ,昇兴股份,20150113,,Y,0.04952,0.05962,0.21634
801140.SI,轻工制造,801141.SI,包装印刷,851425.SI,纸包装,002831.SZ,裕同科技,20161201,,Y,0.06815,0.08667,0.16918
801140.SI,轻工制造,801141.SI,包装印刷,851423.SI,金属包装,601968.SH,宝钢包装,20150115,,Y,0.00973,0.02569,0.15333
801140.SI,轻工制造,801141.SI,包装印刷,851425.SI,纸包装,603499.SH,翔港科技,20170925,,Y,-0.05124,0.20549,0.50285
801140.SI,轻工制造,801141.SI,包装印刷,851423.SI,金属包装,002701.SZ,奥瑞金,20120130,,Y,0.15835,0.13136,0.26241
