l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,603010.SH,万盛股份,20220729,,Y,0.13502,0.1002,0.20089
801030.SI,基础化工,801034.SI,化学制品,850372.SI,聚氨酯,600309.SH,万华化学,20010105,,Y,-0.00555,-0.07069,0.09907
801030.SI,基础化工,801034.SI,化学制品,850382.SI,氟化工,600160.SH,巨化股份,19980626,,Y,0.06857,0.07368,0.17241
801030.SI,基础化工,801034.SI,化学制品,850337.SI,民爆制品,002096.SZ,易普力,20061220,,Y,-0.02928,0.00159,0.16129
801030.SI,基础化工,801034.SI,化学制品,850338.SI,纺织化学制品,600352.SH,浙江龙盛,20080102,,Y,0.05183,0.02781,0.20911
801030.SI,基础化工,801034.SI,化学制品,850382.SI,氟化工,002326.SZ,永太科技,20091204,,Y,0.05174,-0.004,0.27529
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,300174.SZ,元力股份,20110124,,Y,0.13377,0.12854,0.31997
801030.SI,基础化工,801034.SI,化学制品,850382.SI,氟化工,002407.SZ,多氟多,20110110,,Y,0.05254,0.01447,0.19169
801030.SI,基础化工,801034.SI,化学制品,850337.SI,民爆制品,002683.SZ,广东宏大,20120130,,Y,0.02159,0.07654,0.41183
801030.SI,基础化工,801034.SI,化学制品,850337.SI,民爆制品,002827.SZ,高争民爆,20161201,,Y,-0.05412,0.14996,0.53996
801030.SI,基础化工,801034.SI,化学制品,850337.SI,民爆制品,002226.SZ,江南化工,20080414,,Y,0.15789,0.2,0.23653
801030.SI,基础化工,801034.SI,化学制品,850337.SI,民爆制品,603227.SH,雪峰科技,20150106,,Y,0.05024,0.11139,0.3203
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,600273.SH,嘉化能源,20150701,,Y,-0.00383,-0.00255,0.09078
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,300641.SZ,正丹股份,20170330,,Y,0.00884,0.20192,-0.11467
801030.SI,基础化工,801034.SI,化学制品,850382.SI,氟化工,603505.SH,金石资源,20170419,,Y,0.08901,0.03544,0.10969
801030.SI,基础化工,801034.SI,化学制品,850337.SI,民爆制品,002246.SZ,北化股份,20170629,,Y,0.02188,0.13692,0.44459
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,000881.SZ,中广核技,20190724,,Y,0.03051,0.06906,0.21207
801030.SI,基础化工,801034.SI,化学制品,850335.SI,涂料油墨,300758.SZ,七彩化学,20190124,,Y,0.00811,0.09011,0.36427
801030.SI,基础化工,801034.SI,化学制品,850382.SI,氟化工,603379.SH,三美股份,20190318,,Y,0.0784,0.07773,0.15124
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,688065.SH,凯赛生物,20200727,,Y,0.0486,-0.06299,0.27157
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,600500.SH,中化国际,20180713,,Y,0.01392,-0.02455,0.15608
801030.SI,基础化工,801034.SI,化学制品,850337.SI,民爆制品,603977.SH,国泰集团,20180713,,Y,0.13707,0.32127,0.43278
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,688625.SH,呈和科技,20210521,,Y,0.07472,0.13146,0.25855
801030.SI,基础化工,801034.SI,化学制品,850382.SI,氟化工,605020.SH,永和股份,20210630,,Y,0.03693,-0.01564,0.0818
801030.SI,基础化工,801034.SI,化学制品,850135.SI,食品及饲料添加剂,600873.SH,梅花生物,20220729,,Y,-0.00512,-0.05268,-0.02997
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,300847.SZ,中船汉光,20200618,,Y,-0.00253,0.15755,0.42578
801030.SI,基础化工,801034.SI,化学制品,850338.SI,纺织化学制品,300067.SZ,安诺其,20100111,,Y,-0.0625,0.1811,0.72911
801030.SI,基础化工,801034.SI,化学制品,850338.SI,纺织化学制品,002440.SZ,闰土股份,20100111,,Y,0.00307,-0.00153,0.16192
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,300596.SZ,利安隆,20220729,,Y,-0.04105,-0.03544,0.1827
801030.SI,基础化工,801034.SI,化学制品,850335.SI,涂料油墨,688157.SH,松井股份,20200525,,Y,0.1067,0.08793,0.35229
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,300109.SZ,新开源,20100111,,Y,0.07137,0.05728,0.20885
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,603181.SH,皇马科技,20220729,,Y,0.05126,0.10806,0.36893
801030.SI,基础化工,801034.SI,化学制品,850136.SI,有机硅,603260.SH,合盛硅业,20220729,,Y,0.00034,0.0371,0.29003
801030.SI,基础化工,801034.SI,化学制品,850135.SI,食品及饲料添加剂,600299.SH,安迪苏,20210730,,Y,-0.00085,0.01472,0.10047
801030.SI,基础化工,801034.SI,化学制品,850135.SI,食品及饲料添加剂,600866.SH,星湖科技,20210730,,Y,0.05024,0.03349,0.18248
801030.SI,基础化工,801034.SI,化学制品,850136.SI,有机硅,300041.SZ,回天新材,20210730,,Y,0.0245,0.03837,0.28492
801030.SI,基础化工,801034.SI,化学制品,850382.SI,氟化工,300343.SZ,联创股份,20230704,,Y,0.01019,-0.02778,0.31057
801030.SI,基础化工,801034.SI,化学制品,850135.SI,食品及饲料添加剂,688639.SH,华恒生物,20210730,,Y,-0.01361,-0.09375,-0.13526
801030.SI,基础化工,801034.SI,化学制品,850135.SI,食品及饲料添加剂,002597.SZ,金禾实业,20210730,,Y,0.00717,0.03511,0.19102
801030.SI,基础化工,801034.SI,化学制品,850382.SI,氟化工,600378.SH,昊华科技,20210730,,Y,0.07664,0.10947,0.23694
801030.SI,基础化工,801034.SI,化学制品,850136.SI,有机硅,300821.SZ,东岳硅材,20210730,,Y,0.01896,0.00467,0.32308
801030.SI,基础化工,801034.SI,化学制品,850135.SI,食品及饲料添加剂,605016.SH,百龙创园,20210730,,Y,-0.01755,-0.03241,0.11104
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,300072.SZ,海新能科,20230821,,Y,0.0457,0.05135,0.91626
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,300910.SZ,瑞丰新材,20201123,,Y,-0.01182,-0.06481,0.1301
801030.SI,基础化工,801034.SI,化学制品,850136.SI,有机硅,603281.SH,江瀚新材,20230106,,Y,0.00272,-0.00922,0.12136
801030.SI,基础化工,801034.SI,化学制品,850136.SI,有机硅,300019.SZ,硅宝科技,20210730,,Y,-0.00341,-0.05072,0.28634
801030.SI,基础化工,801034.SI,化学制品,850135.SI,食品及饲料添加剂,300741.SZ,华宝股份,20210730,,Y,0.04183,0.00498,0.23422
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,002430.SZ,杭氧股份,20240730,,Y,0.10972,0.23084,0.39842
801030.SI,基础化工,801034.SI,化学制品,850337.SI,民爆制品,002497.SZ,雅化集团,20240730,,Y,0.07556,0.0448,0.27739
801030.SI,基础化工,801034.SI,化学制品,850135.SI,食品及饲料添加剂,002001.SZ,新和成,20240807,,Y,-0.03563,0.03289,0.1699
