l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801030.SI,基础化工,801033.SI,化学原料,850322.SI,氯碱,600618.SH,氯碱化工,19921113,,Y,0.12195,0.09524,0.18819
801030.SI,基础化工,801033.SI,化学原料,850323.SI,无机盐,600328.SH,中盐化工,20001222,,Y,0.03541,0.04049,0.13978
801030.SI,基础化工,801033.SI,化学原料,850321.SI,纯碱,000822.SZ,山东海化,19980703,,Y,0.00885,0.01243,0.03636
801030.SI,基础化工,801033.SI,化学原料,850325.SI,煤化工,002274.SZ,华昌化工,20220729,,Y,-0.00632,0.01419,0.16964
801030.SI,基础化工,801033.SI,化学原料,850322.SI,氯碱,600075.SH,新疆天业,20080102,,Y,0.11511,0.09929,0.24
801030.SI,基础化工,801033.SI,化学原料,850322.SI,氯碱,002386.SZ,天原股份,20100122,,Y,0.01559,0.05069,0.20955
801030.SI,基础化工,801033.SI,化学原料,850322.SI,氯碱,601216.SH,君正集团,20110110,,Y,0.08981,0.0716,0.22011
801030.SI,基础化工,801033.SI,化学原料,850321.SI,纯碱,000683.SZ,远兴能源,20110110,,Y,0.04308,0.11881,0.05772
801030.SI,基础化工,801033.SI,化学原料,850323.SI,无机盐,603067.SH,振华股份,20160907,,Y,0.06265,0.05569,0.0896
801030.SI,基础化工,801033.SI,化学原料,850322.SI,氯碱,000818.SZ,航锦科技,20170629,,Y,0.10894,0.01172,0.08174
801030.SI,基础化工,801033.SI,化学原料,850323.SI,无机盐,002053.SZ,云南能投,20180713,,Y,0.04439,0.02213,0.16
801030.SI,基础化工,801033.SI,化学原料,850322.SI,氯碱,601568.SH,北元集团,20200924,,Y,0.04578,0.0358,0.13316
801030.SI,基础化工,801033.SI,化学原料,850324.SI,其他化学原料,002648.SZ,卫星化学,20220729,,Y,0.04749,0.08814,0.21248
801030.SI,基础化工,801033.SI,化学原料,850322.SI,氯碱,601678.SH,滨化股份,20190724,,Y,0.05744,0.03581,0.16379
801030.SI,基础化工,801033.SI,化学原料,850325.SI,煤化工,600989.SH,宝丰能源,20210730,,Y,-0.00307,-0.01695,0.12621
801030.SI,基础化工,801033.SI,化学原料,850325.SI,煤化工,600746.SH,江苏索普,20210730,,Y,0.02134,0.04058,0.17129
801030.SI,基础化工,801033.SI,化学原料,850325.SI,煤化工,600623.SH,华谊集团,20210730,,Y,-0.01289,-0.04306,0.14833
801030.SI,基础化工,801033.SI,化学原料,850321.SI,纯碱,600409.SH,三友化工,20220729,,Y,0.0,-0.02218,0.03804
801030.SI,基础化工,801033.SI,化学原料,850323.SI,无机盐,603299.SH,苏盐井神,20210730,,Y,0.00628,-0.00796,0.22514
801030.SI,基础化工,801033.SI,化学原料,850324.SI,其他化学原料,600955.SH,维远股份,20210827,,Y,0.02115,0.00605,0.07466
801030.SI,基础化工,801033.SI,化学原料,850324.SI,其他化学原料,301069.SZ,凯盛新材,20210913,,Y,0.00702,-0.02449,0.21217
801030.SI,基础化工,801033.SI,化学原料,850323.SI,无机盐,600929.SH,雪天盐业,20210730,,Y,0.00523,-0.00688,0.09488
801030.SI,基础化工,801033.SI,化学原料,850326.SI,钛白粉,002145.SZ,中核钛白,20210730,,Y,0.08696,0.06888,0.37195
801030.SI,基础化工,801033.SI,化学原料,850326.SI,钛白粉,002601.SZ,龙佰集团,20210730,,Y,0.03044,0.01216,0.1994
801030.SI,基础化工,801033.SI,化学原料,850325.SI,煤化工,000990.SZ,诚志股份,20210730,,Y,0.02387,0.00493,0.18632
801030.SI,基础化工,801033.SI,化学原料,850323.SI,无机盐,603663.SH,三祥新材,20210730,,Y,0.03497,0.09833,0.32835
801030.SI,基础化工,801033.SI,化学原料,850325.SI,煤化工,000830.SZ,鲁西化工,20210730,,Y,0.02901,0.00249,0.11874
