l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801150.SI,医药生物,801153.SI,医疗器械,851532.SI,医疗设备,600055.SH,万东医疗,19970519,,Y,0.06353,0.02055,0.2104
801150.SI,医药生物,801153.SI,医疗器械,851532.SI,医疗设备,688114.SH,华大智造,20220826,,Y,-0.04696,-0.12099,0.16365
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,600529.SH,山东药玻,20020603,,Y,-0.07934,-0.07164,0.06865
801150.SI,医药生物,801153.SI,医疗器械,851532.SI,医疗设备,600587.SH,新华医疗,20020927,,Y,-0.02163,-0.03817,0.06651
801150.SI,医药生物,801153.SI,医疗器械,851534.SI,体外诊断,002030.SZ,达安基因,20040806,,Y,0.0298,0.00647,0.222
801150.SI,医药生物,801153.SI,医疗器械,851532.SI,医疗设备,002223.SZ,鱼跃医疗,20080102,,Y,0.00567,-0.00281,0.00481
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,300003.SZ,乐普医疗,20090122,,Y,0.01533,-0.03454,0.02193
801150.SI,医药生物,801153.SI,医疗器械,851532.SI,医疗设备,300298.SZ,三诺生物,20120106,,Y,-0.05542,-0.10652,0.14267
801150.SI,医药生物,801153.SI,医疗器械,851534.SI,体外诊断,300463.SZ,迈克生物,20150525,,Y,0.0206,-0.02045,0.2356
801150.SI,医药生物,801153.SI,医疗器械,851534.SI,体外诊断,300482.SZ,万孚生物,20150116,,Y,0.0081,0.0128,0.09061
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,300529.SZ,健帆生物,20160718,,Y,-0.00157,-0.07464,0.19099
801150.SI,医药生物,801153.SI,医疗器械,851534.SI,体外诊断,300406.SZ,九强生物,20140124,,Y,-0.00712,-0.04127,0.04419
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,002382.SZ,蓝帆医疗,20190121,,Y,0.02471,0.0189,0.225
801150.SI,医药生物,801153.SI,医疗器械,851534.SI,体外诊断,300685.SZ,艾德生物,20170726,,Y,0.02498,0.05467,0.3973
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,300677.SZ,英科医疗,20170712,,Y,0.02354,-0.01758,0.09472
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,002901.SZ,大博医疗,20170907,,Y,-0.01111,0.07797,0.42798
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,688016.SH,心脉医疗,20190708,,Y,-0.02326,-0.07702,0.04765
801150.SI,医药生物,801153.SI,医疗器械,851532.SI,医疗设备,688139.SH,海尔生物,20191011,,Y,0.02893,-0.07805,0.0077
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,688198.SH,佰仁医疗,20191129,,Y,-0.03601,-0.21649,0.23809
801150.SI,医药生物,801153.SI,医疗器械,851534.SI,体外诊断,688389.SH,普门科技,20191023,,Y,0.09258,0.05125,0.12614
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,688029.SH,南微医学,20190708,,Y,0.02285,0.00468,0.22334
801150.SI,医药生物,801153.SI,医疗器械,851532.SI,医疗设备,688301.SH,奕瑞科技,20200831,,Y,-0.02749,-0.18162,0.19011
801150.SI,医药生物,801153.SI,医疗器械,851534.SI,体外诊断,688289.SH,圣湘生物,20200811,,Y,0.05904,0.08545,0.27996
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,688617.SH,惠泰医疗,20201223,,Y,-0.04496,-0.09646,0.00191
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,688050.SH,爱博医疗,20200721,,Y,0.032,-0.0519,0.22499
801150.SI,医药生物,801153.SI,医疗器械,851534.SI,体外诊断,300832.SZ,新产业,20200427,,Y,0.00532,-0.09454,0.03312
801150.SI,医药生物,801153.SI,医疗器械,851532.SI,医疗设备,300760.SZ,迈瑞医疗,20180919,,Y,0.02109,-0.0599,0.08851
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,603301.SH,振德医疗,20180403,,Y,0.04914,0.0372,0.15216
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,688366.SH,昊海生科,20191021,,Y,-0.03322,-0.09115,0.14837
801150.SI,医药生物,801153.SI,医疗器械,851534.SI,体外诊断,688606.SH,奥泰生物,20210312,,Y,0.0276,0.08963,0.38184
801150.SI,医药生物,801153.SI,医疗器械,851534.SI,体外诊断,688575.SH,亚辉龙,20210426,,Y,-0.06391,-0.15544,-0.02968
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,688085.SH,三友医疗,20200325,,Y,0.09805,0.12564,0.24504
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,605369.SH,拱东医疗,20200909,,Y,0.00635,-0.02581,0.12771
801150.SI,医药生物,801153.SI,医疗器械,851534.SI,体外诊断,688298.SH,东方生物,20200108,,Y,0.11307,-0.01285,0.19513
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,300595.SZ,欧普康视,20170116,,Y,0.02386,-0.03235,0.24073
801150.SI,医药生物,801153.SI,医疗器械,851532.SI,医疗设备,688271.SH,联影医疗,20220805,,Y,0.02545,-0.02221,0.07942
801150.SI,医药生物,801153.SI,医疗器械,851532.SI,医疗设备,300049.SZ,福瑞股份,20180713,,Y,-0.1948,-0.13481,-0.13018
801150.SI,医药生物,801153.SI,医疗器械,851534.SI,体外诊断,603658.SH,安图生物,20180713,,Y,0.03379,-0.04376,0.10979
801150.SI,医药生物,801153.SI,医疗器械,851534.SI,体外诊断,600645.SH,中源协和,20010831,,Y,0.02288,0.02008,0.34073
801150.SI,医药生物,801153.SI,医疗器械,851534.SI,体外诊断,002432.SZ,九安医疗,20220729,,Y,0.08293,0.06751,0.17666
801150.SI,医药生物,801153.SI,医疗器械,851532.SI,医疗设备,300341.SZ,麦克奥迪,20230704,,Y,0.19436,0.88642,2.04963
801150.SI,医药生物,801153.SI,医疗器械,851532.SI,医疗设备,300171.SZ,东富龙,20210730,,Y,0.02821,0.01391,0.17143
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,688161.SH,威高骨科,20210615,,Y,0.10521,0.0368,0.51052
801150.SI,医药生物,801153.SI,医疗器械,851532.SI,医疗设备,300633.SZ,开立医疗,20170320,,Y,0.12155,0.10405,0.09487
