l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801780.SI,银行,801784.SI,城商行Ⅱ,857841.SI,城商行Ⅲ,002142.SZ,宁波银行,20070718,,Y,-0.0281,0.0445,0.23601
801780.SI,银行,801784.SI,城商行Ⅱ,857841.SI,城商行Ⅲ,601009.SH,南京银行,20070718,,Y,0.02412,0.02722,0.05815
801780.SI,银行,801784.SI,城商行Ⅱ,857841.SI,城商行Ⅲ,601169.SH,北京银行,20070918,,Y,-0.00518,0.03226,0.09298
801780.SI,银行,801784.SI,城商行Ⅱ,857841.SI,城商行Ⅲ,601838.SH,成都银行,20171220,,Y,0.00635,0.07172,0.10306
801780.SI,银行,801784.SI,城商行Ⅱ,857841.SI,城商行Ⅲ,601997.SH,贵阳银行,20160804,,Y,0.0,0.04786,0.19029
801780.SI,银行,801784.SI,城商行Ⅱ,857841.SI,城商行Ⅲ,600919.SH,江苏银行,20160623,,Y,0.02908,0.16015,0.21854
801780.SI,银行,801784.SI,城商行Ⅱ,857841.SI,城商行Ⅲ,600926.SH,杭州银行,20161012,,Y,-0.01602,0.04435,0.07371
801780.SI,银行,801784.SI,城商行Ⅱ,857841.SI,城商行Ⅲ,601229.SH,上海银行,20161012,,Y,0.03153,0.08344,0.12055
801780.SI,银行,801784.SI,城商行Ⅱ,857841.SI,城商行Ⅲ,600928.SH,西安银行,20190118,,Y,0.03324,0.06877,0.15839
801780.SI,银行,801784.SI,城商行Ⅱ,857841.SI,城商行Ⅲ,002966.SZ,苏州银行,20190618,,Y,-0.0275,0.01039,0.08811
801780.SI,银行,801784.SI,城商行Ⅱ,857841.SI,城商行Ⅲ,601577.SH,长沙银行,20180831,,Y,0.04118,0.12883,0.18474
801780.SI,银行,801784.SI,城商行Ⅱ,857841.SI,城商行Ⅲ,002936.SZ,郑州银行,20180831,,Y,0.05392,0.00939,0.22159
801780.SI,银行,801784.SI,城商行Ⅱ,857841.SI,城商行Ⅲ,002948.SZ,青岛银行,20181211,,Y,0.02667,0.08146,0.18827
801780.SI,银行,801784.SI,城商行Ⅱ,857841.SI,城商行Ⅲ,601187.SH,厦门银行,20200914,,Y,0.03668,0.04883,0.03868
801780.SI,银行,801784.SI,城商行Ⅱ,857841.SI,城商行Ⅲ,601665.SH,齐鲁银行,20210512,,Y,0.03279,0.12724,0.2489
801780.SI,银行,801784.SI,城商行Ⅱ,857841.SI,城商行Ⅲ,001227.SZ,兰州银行,20211210,,Y,0.03659,0.02823,0.13839
801780.SI,银行,801784.SI,城商行Ⅱ,857841.SI,城商行Ⅲ,601963.SH,重庆银行,20210104,,Y,0.05626,0.20419,0.30868
