l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801050.SI,有色金属,801055.SI,工业金属,850553.SI,铅锌,600338.SH,西藏珠峰,20001227,,Y,0.1203,0.12347,0.34689
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,600888.SH,新疆众和,19960215,,Y,0.02008,0.02973,0.15982
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,000612.SZ,焦作万方,19960926,,Y,0.13624,0.24462,0.50652
801050.SI,有色金属,801055.SI,工业金属,850552.SI,铜,000630.SZ,铜陵有色,19961120,,Y,0.02825,0.03704,0.19344
801050.SI,有色金属,801055.SI,工业金属,850553.SI,铅锌,000688.SZ,国城矿业,19961218,,Y,0.01797,0.04706,0.28321
801050.SI,有色金属,801055.SI,工业金属,850553.SI,铅锌,000758.SZ,中色股份,19970327,,Y,0.11824,0.15528,0.21569
801050.SI,有色金属,801055.SI,工业金属,850553.SI,铅锌,000060.SZ,中金岭南,19970123,,Y,0.08333,0.06557,0.27451
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,000807.SZ,云铝股份,19980408,,Y,0.01133,0.09841,0.33275
801050.SI,有色金属,801055.SI,工业金属,850552.SI,铜,000878.SZ,云南铜业,19980602,,Y,0.051,0.07727,0.30819
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,600219.SH,南山铝业,19991223,,Y,0.03103,0.07463,0.25217
801050.SI,有色金属,801055.SI,工业金属,850552.SI,铜,600362.SH,江西铜业,20020111,,Y,0.01785,0.03132,0.154
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,600595.SH,中孚实业,20020626,,Y,0.06186,0.08421,0.30932
801050.SI,有色金属,801055.SI,工业金属,850553.SI,铅锌,600531.SH,豫光金铅,20020730,,Y,0.04742,0.07747,0.34588
801050.SI,有色金属,801055.SI,工业金属,850553.SI,铅锌,600497.SH,驰宏锌锗,20040419,,Y,0.18021,0.21676,0.28958
801050.SI,有色金属,801055.SI,工业金属,850553.SI,铅锌,600961.SH,株冶集团,20040826,,Y,0.1271,0.15055,0.21762
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,601600.SH,中国铝业,20070430,,Y,-0.07225,0.01252,0.27201
801050.SI,有色金属,801055.SI,工业金属,850552.SI,铜,002171.SZ,楚江新材,20070920,,Y,0.05954,0.05954,0.16639
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,002379.SZ,宏创控股,20100312,,Y,0.05908,0.28049,0.4939
801050.SI,有色金属,801055.SI,工业金属,850552.SI,铜,002203.SZ,海亮股份,20080116,,Y,0.04241,0.06257,0.22572
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,601677.SH,明泰铝业,20110906,,Y,-0.03645,-0.05932,0.16207
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,300337.SZ,银邦股份,20120710,,Y,0.17843,0.27766,1.61166
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,601388.SH,怡球资源,20120409,,Y,0.10359,0.13061,0.27064
801050.SI,有色金属,801055.SI,工业金属,850553.SI,铅锌,000426.SZ,兴业银锡,20120702,,Y,0.01869,0.16818,0.16052
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,000933.SZ,神火股份,20180619,,Y,0.02738,0.08442,0.20302
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,603876.SH,鼎胜新材,20180403,,Y,0.02094,-0.05063,0.13504
801050.SI,有色金属,801055.SI,工业金属,850552.SI,铜,601609.SH,金田股份,20200408,,Y,0.11193,0.10383,0.19527
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,300328.SZ,宜安科技,20220729,,Y,0.24287,0.29253,1.27955
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,601702.SH,华峰铝业,20200821,,Y,0.04435,0.00914,0.0908
801050.SI,有色金属,801055.SI,工业金属,850552.SI,铜,000737.SZ,北方铜业,20220729,,Y,0.1078,0.13103,0.28605
801050.SI,有色金属,801055.SI,工业金属,850553.SI,铅锌,601020.SH,华钰矿业,20220729,,Y,0.26277,0.28359,0.33533
801050.SI,有色金属,801055.SI,工业金属,850552.SI,铜,600490.SH,鹏欣资源,20111010,,Y,0.14667,0.13907,0.48918
801050.SI,有色金属,801055.SI,工业金属,850552.SI,铜,601168.SH,西部矿业,20210730,,Y,0.05379,0.0984,0.26482
801050.SI,有色金属,801055.SI,工业金属,850552.SI,铜,601212.SH,白银有色,20230704,,Y,-0.00909,0.09,0.23396
801050.SI,有色金属,801055.SI,工业金属,850552.SI,铜,601899.SH,紫金矿业,20210730,,Y,-0.0084,0.04548,0.13973
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,002532.SZ,天山铝业,20210730,,Y,0.00815,0.13055,0.33026
801050.SI,有色金属,801055.SI,工业金属,850552.SI,铜,603979.SH,金诚信,20231013,,Y,-0.02,0.01173,0.08287
