l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801720.SI,建筑装饰,801726.SI,工程咨询服务Ⅱ,857261.SI,工程咨询服务Ⅲ,300284.SZ,苏交科,20111227,,Y,-0.06354,0.25556,0.74069
801720.SI,建筑装饰,801726.SI,工程咨询服务Ⅱ,857261.SI,工程咨询服务Ⅲ,603357.SH,设计总院,20170726,,Y,-0.00855,0.04387,0.08411
801720.SI,建筑装饰,801726.SI,工程咨询服务Ⅱ,857261.SI,工程咨询服务Ⅲ,003013.SZ,地铁设计,20200930,,Y,0.19831,0.24396,0.21026
801720.SI,建筑装饰,801726.SI,工程咨询服务Ⅱ,857261.SI,工程咨询服务Ⅲ,301091.SZ,深城交,20210930,,Y,0.18611,0.29351,0.61054
801720.SI,建筑装饰,801726.SI,工程咨询服务Ⅱ,857261.SI,工程咨询服务Ⅲ,600667.SH,太极实业,20220729,,Y,0.17188,0.26728,0.53918
801720.SI,建筑装饰,801726.SI,工程咨询服务Ⅱ,857261.SI,工程咨询服务Ⅲ,301058.SZ,中粮科工,20210820,,Y,0.00249,0.23344,0.40209
801720.SI,建筑装饰,801726.SI,工程咨询服务Ⅱ,857261.SI,工程咨询服务Ⅲ,600846.SH,同济科技,20230704,,Y,0.06162,0.03894,0.20029
801720.SI,建筑装饰,801726.SI,工程咨询服务Ⅱ,857261.SI,工程咨询服务Ⅲ,300492.SZ,华图山鼎,20210730,,Y,0.04114,0.06439,0.04184
801720.SI,建筑装饰,801726.SI,工程咨询服务Ⅱ,857261.SI,工程咨询服务Ⅲ,603018.SH,华设集团,20140127,,Y,0.12515,0.14791,0.03299
801720.SI,建筑装饰,801726.SI,工程咨询服务Ⅱ,857261.SI,工程咨询服务Ⅲ,600720.SH,中交设计,20240119,,Y,-0.00711,0.04158,0.08556
