l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,600808.SH,马钢股份,19940106,,Y,0.07589,0.09545,0.21106
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,600782.SH,新钢股份,19961225,,Y,0.09917,0.19104,0.22769
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,600019.SH,宝钢股份,20001212,,Y,0.01955,0.06103,0.05937
801040.SI,钢铁,801044.SI,普钢,850441.SI,长材,600231.SH,凌钢股份,20000424,,Y,0.17341,0.16,0.48175
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,600282.SH,南钢股份,20000919,,Y,0.00449,-0.00223,0.03712
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,600307.SH,酒钢宏兴,20001220,,Y,0.29252,0.35714,0.61017
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,600010.SH,包钢股份,20010222,,Y,0.21818,0.21084,0.38621
801040.SI,钢铁,801044.SI,普钢,850443.SI,钢铁管材,000778.SZ,新兴铸管,19970606,,Y,0.03342,-0.03597,0.13559
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,000709.SZ,河钢股份,19970416,,Y,0.07009,0.0553,0.18653
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,000898.SZ,鞍钢股份,19971225,,Y,0.06356,0.07265,0.18396
801040.SI,钢铁,801044.SI,普钢,850441.SI,长材,000717.SZ,中南股份,19970508,,Y,0.02113,0.01399,0.68605
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,000761.SZ,本钢板材,19980115,,Y,0.03652,0.13538,0.41379
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,600126.SH,杭钢股份,19980311,,Y,0.02233,0.01728,0.11653
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,000932.SZ,华菱钢铁,19990803,,Y,0.10981,0.10209,0.03712
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,000959.SZ,首钢股份,19991216,,Y,0.02469,0.0,0.19856
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,600022.SH,山东钢铁,20040628,,Y,0.16667,0.15,0.22901
801040.SI,钢铁,801044.SI,普钢,850441.SI,长材,002110.SZ,三钢闽光,20070125,,Y,0.0805,0.06728,0.22028
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,601003.SH,柳钢股份,20070227,,Y,0.09864,0.08389,0.21429
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,601005.SH,重庆钢铁,20180713,,Y,0.28788,0.30769,0.57407
801040.SI,钢铁,801044.SI,普钢,850443.SI,钢铁管材,601686.SH,友发集团,20210730,,Y,0.00361,-0.02285,0.0412
