l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,000559.SZ,万向钱潮,19940110,,Y,0.37687,0.32734,0.64732
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,600741.SH,华域汽车,19960826,,Y,-0.02779,-0.09122,0.03826
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,600742.SH,一汽富维,19960826,,Y,0.03833,0.05017,0.19455
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,600609.SH,金杯汽车,19920724,,Y,0.40941,0.4061,0.51646
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,600660.SH,福耀玻璃,19930610,,Y,-0.0586,0.02739,0.36119
801880.SI,汽车,801093.SI,汽车零部件,850926.SI,汽车电子电气系统,000980.SZ,众泰汽车,20000616,,Y,0.24091,0.39286,0.35149
801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂,000589.SZ,贵州轮胎,19960308,,Y,-0.01761,-0.02901,0.06809
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,600081.SH,东风科技,19970703,,Y,0.04286,0.06904,0.17336
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,000700.SZ,模塑科技,19970228,,Y,0.04948,0.06061,0.27273
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,000581.SZ,威孚高科,19980924,,Y,0.01388,-0.00055,0.14411
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,000887.SZ,中鼎股份,19981203,,Y,-0.02905,-0.05379,0.19696
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,600523.SH,贵航股份,20011227,,Y,-0.09212,0.13051,0.32554
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,600480.SH,凌云股份,20030812,,Y,0.093,0.08705,0.18787
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,002048.SZ,宁波华翔,20050601,,Y,-0.04047,-0.04118,0.03165
801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂,002085.SZ,万丰奥威,20061127,,Y,0.29379,0.55149,0.53898
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,002101.SZ,广东鸿图,20061228,,Y,0.01721,-0.01351,0.23852
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,000338.SZ,潍柴动力,20070430,,Y,0.01026,-0.0206,0.10144
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,002126.SZ,银轮股份,20070418,,Y,0.03485,-0.04455,0.2773
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,002590.SZ,万安科技,20110601,,Y,0.03527,-0.00399,0.18998
801880.SI,汽车,801093.SI,汽车零部件,850926.SI,汽车电子电气系统,002239.SZ,奥特佳,20080430,,Y,0.06227,0.07807,0.23404
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,002284.SZ,亚太股份,20090810,,Y,0.02354,-0.0084,0.18169
801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂,002488.SZ,金固股份,20101012,,Y,-0.22437,0.05253,1.04151
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,002536.SZ,飞龙股份,20101229,,Y,0.10185,0.15871,0.36
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,002472.SZ,双环传动,20100820,,Y,-0.00272,-0.02068,0.40076
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,002434.SZ,万里扬,20100528,,Y,0.12478,0.0917,0.31458
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,300100.SZ,双林股份,20100727,,Y,-0.02846,0.08254,0.76023
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,000030.SZ,富奥股份,20130701,,Y,0.07004,0.05566,0.10664
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,002703.SZ,浙江世宝,20121026,,Y,0.12191,0.13824,0.25156
801880.SI,汽车,801093.SI,汽车零部件,850926.SI,汽车电子电气系统,300304.SZ,云意电气,20120313,,Y,0.04375,0.00602,0.41047
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,603997.SH,继峰股份,20150115,,Y,0.07436,0.01241,0.25634
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,601689.SH,拓普集团,20150109,,Y,0.00089,-0.06088,0.34088
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,603035.SH,常熟汽饰,20161219,,Y,0.05895,0.05021,0.23145
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,300507.SZ,苏奥传感,20160418,,Y,0.09347,0.11836,0.26199
801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂,601966.SH,玲珑轮胎,20160624,,Y,0.0143,0.04526,0.2428
801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂,601163.SH,三角轮胎,20160823,,Y,-0.02387,-0.02452,0.03808
801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂,601500.SH,通用股份,20160907,,Y,-0.01357,-0.01165,0.1542
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,603306.SH,华懋科技,20140110,,Y,0.14347,0.31883,0.65597
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,603009.SH,北特科技,20140120,,Y,-0.01435,0.07051,0.65742
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,002516.SZ,旷达科技,20190724,,Y,0.01105,0.18831,0.51657
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,603305.SH,旭升集团,20170628,,Y,0.34159,0.43014,0.39935
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,603197.SH,保隆科技,20170504,,Y,0.01482,0.02425,0.32676
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,603809.SH,豪能股份,20171030,,Y,0.56086,0.61983,0.82933
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,603178.SH,圣龙股份,20170224,,Y,0.054,0.04669,0.12581
801880.SI,汽车,801093.SI,汽车零部件,850926.SI,汽车电子电气系统,603179.SH,新泉股份,20170301,,Y,0.04951,-0.04727,0.27179
801880.SI,汽车,801093.SI,汽车零部件,850926.SI,汽车电子电气系统,002906.SZ,华阳集团,20170925,,Y,-0.00474,0.0424,0.30257
