l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801960.SI,石油石化,801963.SI,炼化及贸易,859631.SI,炼油化工,600688.SH,上海石化,19931108,,Y,0.05085,0.08014,0.14815
801960.SI,石油石化,801963.SI,炼化及贸易,859632.SI,油品石化贸易,000096.SZ,广聚能源,20000724,,Y,0.0787,0.34722,0.35011
801960.SI,石油石化,801963.SI,炼化及贸易,859632.SI,油品石化贸易,600256.SH,广汇能源,20000424,,Y,-0.03606,0.10927,0.35473
801960.SI,石油石化,801963.SI,炼化及贸易,859631.SI,炼油化工,600028.SH,中国石化,20010808,,Y,-0.04704,-0.04559,-0.00159
801960.SI,石油石化,801963.SI,炼化及贸易,859633.SI,其他石化,000819.SZ,岳阳兴长,19970625,,Y,0.03428,-0.02785,0.1843
801960.SI,石油石化,801963.SI,炼化及贸易,859631.SI,炼油化工,601857.SH,中国石油,20071101,,Y,-0.02358,-0.02012,0.01099
801960.SI,石油石化,801963.SI,炼化及贸易,859633.SI,其他石化,002221.SZ,东华能源,20080102,,Y,-0.00769,0.00894,0.12174
801960.SI,石油石化,801963.SI,炼化及贸易,859631.SI,炼油化工,000059.SZ,华锦股份,20091231,,Y,0.06405,0.14191,0.2875
801960.SI,石油石化,801963.SI,炼化及贸易,859631.SI,炼油化工,002493.SZ,荣盛石化,20210730,,Y,0.03518,0.00622,0.08979
801960.SI,石油石化,801963.SI,炼化及贸易,859631.SI,炼油化工,600346.SH,恒力石化,20210730,,Y,-0.03429,-0.07001,0.05626
801960.SI,石油石化,801963.SI,炼化及贸易,859633.SI,其他石化,002408.SZ,齐翔腾达,20210730,,Y,0.00758,-0.01664,0.0411
801960.SI,石油石化,801963.SI,炼化及贸易,859631.SI,炼油化工,000703.SZ,恒逸石化,20210730,,Y,0.00781,-0.04018,0.02381
801960.SI,石油石化,801963.SI,炼化及贸易,859633.SI,其他石化,601233.SH,桐昆股份,20210730,,Y,0.01231,-0.0128,-0.05223
801960.SI,石油石化,801963.SI,炼化及贸易,859631.SI,炼油化工,000301.SZ,东方盛虹,20210730,,Y,-0.02613,-0.04317,0.06218
