l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801160.SI,公用事业,801163.SI,燃气Ⅱ,851631.SI,燃气Ⅲ,002267.SZ,陕天然气,20080122,,Y,0.01024,0.0409,0.13037
801160.SI,公用事业,801163.SI,燃气Ⅱ,851631.SI,燃气Ⅲ,600917.SH,重庆燃气,20140110,,Y,0.01503,0.04467,0.1156
801160.SI,公用事业,801163.SI,燃气Ⅱ,851631.SI,燃气Ⅲ,603393.SH,新天然气,20160831,,Y,-0.07836,-0.06955,-0.05836
801160.SI,公用事业,801163.SI,燃气Ⅱ,851631.SI,燃气Ⅲ,002911.SZ,佛燃能源,20171108,,Y,0.00088,0.06098,0.11429
801160.SI,公用事业,801163.SI,燃气Ⅱ,851631.SI,燃气Ⅲ,603053.SH,成都燃气,20191129,,Y,0.02839,0.09274,0.04936
801160.SI,公用事业,801163.SI,燃气Ⅱ,851631.SI,燃气Ⅲ,600903.SH,贵州燃气,20171030,,Y,-0.00681,0.02821,0.16827
801160.SI,公用事业,801163.SI,燃气Ⅱ,851631.SI,燃气Ⅲ,605368.SH,蓝天燃气,20210114,,Y,-0.07874,-0.06773,-0.07656
801160.SI,公用事业,801163.SI,燃气Ⅱ,851631.SI,燃气Ⅲ,605090.SH,九丰能源,20210510,,Y,0.01855,0.02979,0.02602
801160.SI,公用事业,801163.SI,燃气Ⅱ,851631.SI,燃气Ⅲ,600635.SH,大众公用,20150119,,Y,0.3314,0.2687,0.22788
801160.SI,公用事业,801163.SI,燃气Ⅱ,851631.SI,燃气Ⅲ,600803.SH,新奥股份,20200831,,Y,-0.03249,-0.03498,0.04804
801160.SI,公用事业,801163.SI,燃气Ⅱ,851631.SI,燃气Ⅲ,601139.SH,深圳燃气,20090105,,Y,0.01108,0.02384,0.08955
