l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801170.SI,交通运输,801178.SI,物流,851784.SI,快递,600233.SH,圆通速递,20000424,,Y,-0.10188,-0.02171,0.13189
801170.SI,交通运输,801178.SI,物流,851786.SI,仓储物流,600787.SH,中储股份,19970121,,Y,0.00379,0.03516,0.08607
801170.SI,交通运输,801178.SI,物流,851784.SI,快递,002120.SZ,韵达股份,20070306,,Y,-0.0129,0.00477,0.17762
801170.SI,交通运输,801178.SI,物流,851783.SI,中间产品及消费品供应链服务,002183.SZ,怡亚通,20071112,,Y,0.29345,0.48446,0.92929
801170.SI,交通运输,801178.SI,物流,851784.SI,快递,002352.SZ,顺丰控股,20170301,,Y,0.06443,0.12278,0.33905
801170.SI,交通运输,801178.SI,物流,851784.SI,快递,002468.SZ,申通快递,20170703,,Y,-0.01882,0.01015,0.27771
801170.SI,交通运输,801178.SI,物流,851785.SI,跨境物流,603128.SH,华贸物流,20120117,,Y,0.05973,0.06518,0.16075
801170.SI,交通运输,801178.SI,物流,851787.SI,公路货运,002010.SZ,传化智联,20180420,,Y,0.03302,0.00922,0.14063
801170.SI,交通运输,801178.SI,物流,851786.SI,仓储物流,002930.SZ,宏川智慧,20180328,,Y,-0.04474,0.01407,0.01318
801170.SI,交通运输,801178.SI,物流,851785.SI,跨境物流,601598.SH,中国外运,20190115,,Y,-0.0221,0.06841,0.15435
801170.SI,交通运输,801178.SI,物流,851786.SI,仓储物流,603713.SH,密尔克卫,20180706,,Y,-0.01314,0.03609,0.22
801170.SI,交通运输,801178.SI,物流,851785.SI,跨境物流,603871.SH,嘉友国际,20180129,,Y,-0.09558,-0.12565,0.14085
801170.SI,交通运输,801178.SI,物流,851785.SI,跨境物流,601156.SH,东航物流,20210521,,Y,0.09624,0.06919,0.18388
801170.SI,交通运输,801178.SI,物流,851784.SI,快递,603056.SH,德邦股份,20220729,,Y,0.02931,0.03523,0.15849
801170.SI,交通运输,801178.SI,物流,851782.SI,原材料供应链服务,600057.SH,厦门象屿,20020830,,Y,-0.03698,0.00335,0.14751
801170.SI,交通运输,801178.SI,物流,851782.SI,原材料供应链服务,600153.SH,建发股份,20111230,,Y,0.01238,0.05371,0.29249
801170.SI,交通运输,801178.SI,物流,851782.SI,原材料供应链服务,600704.SH,物产中大,20190724,,Y,0.08163,0.09053,0.22685
801170.SI,交通运输,801178.SI,物流,851782.SI,原材料供应链服务,600755.SH,厦门国贸,20210730,,Y,-0.04261,-0.03989,0.07154
