l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,000531.SZ,穗恒运A,19940106,,Y,0.0486,0.02186,0.17119
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,600863.SH,内蒙华电,19940520,,Y,-0.01944,0.00221,0.11002
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,600726.SH,华电能源,19960701,,Y,0.09292,0.11261,0.1875
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,600744.SH,华银电力,19960905,,Y,0.03904,0.09148,0.15333
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,000027.SZ,深圳能源,19930903,,Y,0.00595,-0.05587,0.02269
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,000539.SZ,粤电力A,19931126,,Y,0.00837,0.00208,0.05934
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,000543.SZ,皖能电力,19931220,,Y,-0.01272,-0.03121,-0.0924
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,600642.SH,申能股份,19930416,,Y,0.01639,0.08908,0.08229
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,000966.SZ,长源电力,20000224,,Y,0.08369,0.10989,0.20238
801160.SI,公用事业,801161.SI,电力,851612.SI,水力发电,600236.SH,桂冠电力,20000323,,Y,-0.01902,-0.02212,-0.08567
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,600011.SH,华能国际,20011206,,Y,-0.00547,-0.02416,-0.01357
801160.SI,公用事业,801161.SI,电力,851616.SI,光伏发电,000591.SZ,太阳能,19960208,,Y,0.04724,0.07911,0.22581
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,600098.SH,广州发展,19970718,,Y,0.00625,0.00156,0.06271
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,600795.SH,国电电力,19970318,,Y,-0.04854,-0.0297,-0.08411
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,000767.SZ,晋控电力,19970609,,Y,0.05859,0.0754,0.16309
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,000899.SZ,赣能股份,19971126,,Y,0.0,0.06332,0.10973
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,001896.SZ,豫能控股,19980122,,Y,0.0525,0.09067,0.15342
801160.SI,公用事业,801161.SI,电力,851617.SI,风力发电,600163.SH,中闽能源,19980602,,Y,0.0386,0.19115,0.14729
801160.SI,公用事业,801161.SI,电力,851610.SI,电能综合服务,002060.SZ,广东建工,20220729,,Y,0.01583,0.02667,0.11594
801160.SI,公用事业,801161.SI,电力,851614.SI,热力服务,600167.SH,联美控股,19990128,,Y,0.02207,0.075,0.11481
801160.SI,公用事业,801161.SI,电力,851617.SI,风力发电,000537.SZ,中绿电,20220826,,Y,0.07957,0.07957,0.1729
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,600021.SH,上海电力,20031027,,Y,0.05,0.09667,0.10156
801160.SI,公用事业,801161.SI,电力,851612.SI,水力发电,600900.SH,长江电力,20031111,,Y,-0.00713,-0.02417,-0.06823
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,600027.SH,华电国际,20050203,,Y,0.01954,-0.00347,0.08918
801160.SI,公用事业,801161.SI,电力,851612.SI,水力发电,002039.SZ,黔源电力,20050302,,Y,-0.04104,0.01381,-0.05746
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,000600.SZ,建投能源,20060907,,Y,0.02335,0.03137,0.06263
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,601991.SH,大唐发电,20061219,,Y,0.02749,0.06028,0.05654
801160.SI,公用事业,801161.SI,电力,851616.SI,光伏发电,002617.SZ,露笑科技,20110908,,Y,0.0347,0.00306,0.22388
801160.SI,公用事业,801161.SI,电力,851616.SI,光伏发电,601908.SH,京运通,20110826,,Y,0.06376,0.0602,0.33193
801160.SI,公用事业,801161.SI,电力,851612.SI,水力发电,600674.SH,川投能源,20110110,,Y,-0.00584,-0.03348,-0.0927
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,000690.SZ,宝新能源,20170526,,Y,0.00864,0.02188,0.02412
801160.SI,公用事业,801161.SI,电力,851617.SI,风力发电,601016.SH,节能风电,20140110,,Y,0.04,0.06625,0.15358
801160.SI,公用事业,801161.SI,电力,851617.SI,风力发电,000155.SZ,川能动力,20190724,,Y,0.0287,0.05249,0.24265
801160.SI,公用事业,801161.SI,电力,851610.SI,电能综合服务,000875.SZ,吉电股份,20190724,,Y,0.03787,0.15076,0.28025
801160.SI,公用事业,801161.SI,电力,851617.SI,风力发电,601619.SH,嘉泽新能,20170712,,Y,0.05329,0.04673,0.13131
801160.SI,公用事业,801161.SI,电力,851612.SI,水力发电,600886.SH,国投电力,20170629,,Y,-0.01769,-0.03656,-0.05586
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,600578.SH,京能电力,20170629,,Y,0.05,0.08309,0.16667
801160.SI,公用事业,801161.SI,电力,851612.SI,水力发电,600025.SH,华能水电,20171121,,Y,-0.05212,-0.08052,-0.14236
801160.SI,公用事业,801161.SI,电力,851618.SI,核力发电,003816.SZ,中国广核,20190808,,Y,-0.02133,-0.01196,-0.125
801160.SI,公用事业,801161.SI,电力,851614.SI,热力服务,002015.SZ,协鑫能科,20200722,,Y,0.02317,0.03965,0.14461
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,002608.SZ,江苏国信,20180713,,Y,0.04881,0.03381,0.15217
801160.SI,公用事业,801161.SI,电力,851616.SI,光伏发电,600821.SH,金开新能,20220729,,Y,0.0194,0.02301,0.16298
801160.SI,公用事业,801161.SI,电力,851614.SI,热力服务,600226.SH,亨通股份,20220729,,Y,0.09955,0.14085,0.17391
801160.SI,公用事业,801161.SI,电力,851610.SI,电能综合服务,003035.SZ,南网能源,20210108,,Y,0.00427,-0.01053,0.12981
801160.SI,公用事业,801161.SI,电力,851616.SI,光伏发电,600032.SH,浙江新能,20210415,,Y,-0.01557,0.01859,0.16927
801160.SI,公用事业,801161.SI,电力,851616.SI,光伏发电,601778.SH,晶科科技,20200427,,Y,0.1162,0.09689,0.3547
801160.SI,公用事业,801161.SI,电力,851614.SI,热力服务,605011.SH,杭州热电,20210615,,Y,-0.00883,0.02936,0.07112
801160.SI,公用事业,801161.SI,电力,851618.SI,核力发电,601985.SH,中国核电,20150610,,Y,-0.04554,-0.02708,-0.07281
801160.SI,公用事业,801161.SI,电力,851617.SI,风力发电,603693.SH,江苏新能,20180703,,Y,0.03353,0.05645,-0.02239
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,001286.SZ,陕西能源,20230504,,Y,-0.04055,-0.04995,-0.00818
801160.SI,公用事业,801161.SI,电力,851617.SI,风力发电,600905.SH,三峡能源,20210510,,Y,0.00629,0.05033,0.02564
801160.SI,公用事业,801161.SI,电力,851610.SI,电能综合服务,600452.SH,涪陵电力,20210730,,Y,0.10419,0.22288,0.25506
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,600509.SH,天富能源,20210730,,Y,0.22351,0.32437,0.5332
801160.SI,公用事业,801161.SI,电力,851610.SI,电能综合服务,000883.SZ,湖北能源,20210730,,Y,0.01193,0.01597,0.04517
801160.SI,公用事业,801161.SI,电力,851610.SI,电能综合服务,600995.SH,南网储能,20210730,,Y,0.11985,0.13178,0.25322
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,600780.SH,通宝能源,20120702,,Y,0.10764,0.07047,0.25838
801160.SI,公用事业,801161.SI,电力,851617.SI,风力发电,600956.SH,新天绿能,20210730,,Y,-0.00766,0.01172,0.08824
801160.SI,公用事业,801161.SI,电力,851616.SI,光伏发电,601222.SH,林洋能源,20210730,,Y,0.05439,0.02578,0.23732
801160.SI,公用事业,801161.SI,电力,851610.SI,电能综合服务,600310.SH,广西能源,20210730,,Y,0.18319,0.3423,0.40409
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,600023.SH,浙能电力,20130121,,Y,-0.05331,-0.05636,-0.08438
801160.SI,公用事业,801161.SI,电力,851612.SI,水力发电,000791.SZ,甘肃能源,20130104,,Y,0.02019,0.07353,0.15263
801160.SI,公用事业,801161.SI,电力,851612.SI,水力发电,000722.SZ,湖南发展,20130104,,Y,0.00669,0.11547,0.21594
801160.SI,公用事业,801161.SI,电力,851610.SI,电能综合服务,600483.SH,福能股份,20210730,,Y,-0.035,-0.01731,-0.04361
801160.SI,公用事业,801161.SI,电力,851610.SI,电能综合服务,600116.SH,三峡水利,20210730,,Y,-0.01208,-0.00541,0.07289
801160.SI,公用事业,801161.SI,电力,851616.SI,光伏发电,002218.SZ,拓日新能,20240730,,Y,0.0218,0.06838,0.33452
801160.SI,公用事业,801161.SI,电力,851614.SI,热力服务,600475.SH,华光环能,20240730,,Y,-0.00643,-0.00962,0.09187
