l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801080.SI,电子,801086.SI,电子化学品Ⅱ,850861.SI,电子化学品Ⅲ,300285.SZ,国瓷材料,20220729,,Y,0.03403,-0.03091,0.12408
801080.SI,电子,801086.SI,电子化学品Ⅱ,850861.SI,电子化学品Ⅲ,300655.SZ,晶瑞电材,20210730,,Y,0.02047,0.047,0.54425
801080.SI,电子,801086.SI,电子化学品Ⅱ,850861.SI,电子化学品Ⅲ,002643.SZ,万润股份,20210730,,Y,0.0455,0.0084,0.18943
801080.SI,电子,801086.SI,电子化学品Ⅱ,850861.SI,电子化学品Ⅲ,300576.SZ,容大感光,20210730,,Y,0.09268,0.09049,0.6168
801080.SI,电子,801086.SI,电子化学品Ⅱ,850861.SI,电子化学品Ⅲ,603078.SH,江化微,20210730,,Y,0.05033,0.04894,0.23617
801080.SI,电子,801086.SI,电子化学品Ⅱ,850861.SI,电子化学品Ⅲ,688268.SH,华特气体,20210730,,Y,-0.00505,-0.03158,0.17873
801080.SI,电子,801086.SI,电子化学品Ⅱ,850861.SI,电子化学品Ⅲ,300429.SZ,强力新材,20210730,,Y,0.2347,0.25641,0.63178
801080.SI,电子,801086.SI,电子化学品Ⅱ,850861.SI,电子化学品Ⅲ,300446.SZ,航天智造,20210730,,Y,0.16667,0.36697,0.5696
801080.SI,电子,801086.SI,电子化学品Ⅱ,850861.SI,电子化学品Ⅲ,300398.SZ,飞凯材料,20210730,,Y,0.09463,0.05226,0.43954
801080.SI,电子,801086.SI,电子化学品Ⅱ,850861.SI,电子化学品Ⅲ,603002.SH,宏昌电子,20211014,,Y,0.05437,0.05029,0.16524
801080.SI,电子,801086.SI,电子化学品Ⅱ,850861.SI,电子化学品Ⅲ,688106.SH,金宏气体,20210730,,Y,-0.03808,-0.08353,0.08659
801080.SI,电子,801086.SI,电子化学品Ⅱ,850861.SI,电子化学品Ⅲ,300054.SZ,鼎龙股份,20210730,,Y,0.0146,-0.03907,0.36829
801080.SI,电子,801086.SI,电子化学品Ⅱ,850861.SI,电子化学品Ⅲ,688550.SH,瑞联新材,20210730,,Y,0.10493,0.28286,0.57825
801080.SI,电子,801086.SI,电子化学品Ⅱ,850861.SI,电子化学品Ⅲ,688548.SH,广钢气体,20230731,,Y,0.00753,0.00645,0.20308
801080.SI,电子,801086.SI,电子化学品Ⅱ,850861.SI,电子化学品Ⅲ,688019.SH,安集科技,20210730,,Y,0.17253,0.09744,0.54547
801080.SI,电子,801086.SI,电子化学品Ⅱ,850861.SI,电子化学品Ⅲ,300236.SZ,上海新阳,20210730,,Y,0.04974,0.02858,0.30622
801080.SI,电子,801086.SI,电子化学品Ⅱ,850861.SI,电子化学品Ⅲ,688549.SH,中巨芯-U,20230821,,Y,0.00972,0.20957,0.5228
801080.SI,电子,801086.SI,电子化学品Ⅱ,850861.SI,电子化学品Ⅲ,300346.SZ,南大光电,20210730,,Y,0.01822,-0.01062,0.56673
801080.SI,电子,801086.SI,电子化学品Ⅱ,850861.SI,电子化学品Ⅲ,600330.SH,天通股份,20240730,,Y,0.10149,0.13213,0.3129
