l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池,002074.SZ,国轩高科,20061018,,Y,0.04136,0.02512,0.23927
801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池,688388.SH,嘉元科技,20220729,,Y,0.16597,0.15917,0.53872
801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池,002245.SZ,蔚蓝锂芯,20080116,,Y,0.04129,0.04479,0.14901
801730.SI,电力设备,801737.SI,电池,857375.SI,蓄电池及其他电池,300068.SZ,南都电源,20100409,,Y,-0.12355,0.09032,1.65815
801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池,000049.SZ,德赛电池,20121231,,Y,-0.00272,0.02146,0.12522
801730.SI,电力设备,801737.SI,电池,857375.SI,蓄电池及其他电池,601311.SH,骆驼股份,20110525,,Y,0.04043,0.02579,0.20856
801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池,300014.SZ,亿纬锂能,20200724,,Y,0.05641,0.01215,0.36836
801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池,002850.SZ,科达利,20170214,,Y,0.12508,0.09448,0.49427
801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池,688567.SH,孚能科技,20200629,,Y,-0.02592,-0.10405,0.37625
801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池,300750.SZ,宁德时代,20180528,,Y,0.0485,0.02506,0.47678
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,001301.SZ,尚太科技,20221121,,Y,0.23872,0.42302,0.9336
801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池,688063.SH,派能科技,20201214,,Y,0.00307,-0.047,0.23291
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,688778.SH,厦钨新能,20210806,,Y,0.103,0.0944,0.36743
801730.SI,电力设备,801737.SI,电池,857375.SI,蓄电池及其他电池,688819.SH,天能股份,20210104,,Y,-0.11385,-0.1418,0.34395
801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池,300207.SZ,欣旺达,20111010,,Y,-0.00173,0.04488,0.44969
801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池,300438.SZ,鹏辉能源,20210224,,Y,-0.01657,0.08966,1.03719
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,603659.SH,璞泰来,20200724,,Y,0.24468,0.26572,0.51579
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,688707.SH,振华新材,20210827,,Y,0.08539,0.0318,0.44888
801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池,600478.SH,科力远,20170629,,Y,0.06553,0.05024,0.22284
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,300568.SZ,星源材质,20210730,,Y,0.0736,0.01767,0.42634
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,300919.SZ,中伟股份,20210730,,Y,0.05482,0.00829,0.43946
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,603026.SH,石大胜华,20210730,,Y,0.04388,-0.01455,0.18712
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,300073.SZ,当升科技,20210730,,Y,-0.03094,0.00679,0.51705
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,002709.SZ,天赐材料,20210730,,Y,0.14068,0.10147,0.3478
