l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,600312.SH,平高电气,20010221,,Y,0.00106,-0.08216,0.00053
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,600089.SH,特变电工,19970618,,Y,0.01066,0.04482,0.07809
801730.SI,电力设备,801738.SI,电网设备,857382.SI,配电设备,600468.SH,百利电气,20010612,,Y,0.11581,0.11333,0.24318
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,600550.SH,保变电气,20010226,,Y,-0.10985,0.129,1.22358
801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他,600973.SH,宝胜股份,20040730,,Y,0.09227,0.11168,0.30746
801730.SI,电力设备,801738.SI,电网设备,857321.SI,电网自动化设备,002169.SZ,智光电气,20070918,,Y,-0.00704,0.28885,0.65105
801730.SI,电力设备,801738.SI,电网设备,857382.SI,配电设备,601877.SH,正泰电器,20100104,,Y,0.08395,0.04677,0.26141
801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他,002276.SZ,万马股份,20090629,,Y,0.07432,0.00126,0.22875
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,300001.SZ,特锐德,20091022,,Y,0.01237,0.04184,0.21797
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,601179.SH,中国西电,20100112,,Y,0.09398,0.06204,0.27818
801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他,002533.SZ,金杯电工,20101222,,Y,0.03553,-0.01491,0.12486
801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他,002498.SZ,汉缆股份,20101027,,Y,0.0295,0.01749,0.12581
801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他,601700.SH,风范股份,20110106,,Y,0.14773,0.19104,0.30829
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,002270.SZ,华明装备,20170629,,Y,0.21881,0.17965,0.06498
801730.SI,电力设备,801738.SI,电网设备,857382.SI,配电设备,002706.SZ,良信股份,20140108,,Y,0.00142,-0.00705,0.1675
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,002028.SZ,思源电气,20190724,,Y,0.06169,0.07799,0.25734
801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他,603530.SH,神马电力,20190702,,Y,0.0,0.01185,0.09633
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,688676.SH,金盘科技,20210219,,Y,0.13694,0.14551,0.07042
801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他,605222.SH,起帆电缆,20200721,,Y,-0.04035,0.01799,-0.00786
801730.SI,电力设备,801738.SI,电网设备,857382.SI,配电设备,603016.SH,新宏泰,20160701,,Y,-0.09305,0.35711,1.15416
801730.SI,电力设备,801738.SI,电网设备,857382.SI,配电设备,601567.SH,三星医疗,20220729,,Y,-0.06739,-0.0916,0.12459
801730.SI,电力设备,801738.SI,电网设备,857321.SI,电网自动化设备,688248.SH,南网科技,20211203,,Y,0.02253,-0.01076,0.38136
801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他,600869.SH,远东股份,20090601,,Y,0.00574,0.18736,0.57485
801730.SI,电力设备,801738.SI,电网设备,857321.SI,电网自动化设备,600885.SH,宏发股份,20020430,,Y,0.0151,-0.01975,0.23791
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,300140.SZ,节能环境,20220729,,Y,0.11165,0.09744,0.44937
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,600525.SH,长园集团,20210730,,Y,0.03291,0.12774,0.53533
801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他,600577.SH,精达股份,20190724,,Y,-0.0536,0.04052,0.34524
801730.SI,电力设备,801738.SI,电网设备,857321.SI,电网自动化设备,300222.SZ,科大智能,20210730,,Y,0.06289,0.06158,0.54758
801730.SI,电力设备,801738.SI,电网设备,857323.SI,电工仪器仪表,603556.SH,海兴电力,20210730,,Y,-0.02008,-0.17093,-0.00803
801730.SI,电力设备,801738.SI,电网设备,857323.SI,电工仪器仪表,300360.SZ,炬华科技,20140108,,Y,-0.0205,0.0399,0.24819
801730.SI,电力设备,801738.SI,电网设备,857321.SI,电网自动化设备,601126.SH,四方股份,20101224,,Y,-0.01565,-0.09299,0.09484
801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他,000720.SZ,新能泰山,20220729,,Y,0.03523,0.2649,0.60504
801730.SI,电力设备,801738.SI,电网设备,857321.SI,电网自动化设备,603050.SH,科林电气,20170330,,Y,-0.01146,-0.01397,-0.10385
801730.SI,电力设备,801738.SI,电网设备,857321.SI,电网自动化设备,000682.SZ,东方电子,19970121,,Y,0.00261,-0.08926,0.08161
801730.SI,电力设备,801738.SI,电网设备,857321.SI,电网自动化设备,600406.SH,国电南瑞,20031015,,Y,0.02118,-0.00074,0.14407
801730.SI,电力设备,801738.SI,电网设备,857321.SI,电网自动化设备,600268.SH,国电南自,19991118,,Y,0.11094,0.10597,0.40076
801730.SI,电力设备,801738.SI,电网设备,857321.SI,电网自动化设备,000400.SZ,许继电气,19970409,,Y,0.02971,-0.07913,0.05872
801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他,603606.SH,东方电缆,20140127,,Y,0.03246,0.1167,0.21091
801730.SI,电力设备,801738.SI,电网设备,857323.SI,电工仪器仪表,002121.SZ,科陆电子,20070306,,Y,-0.00238,0.01449,0.1831
